item_name,item_type,storage_location,days_since_purchase,sisa_hari,label
Pakcoy,Leafy Vegetable,Outside,1 hari,0.0,Expired
Tomat,Tropical Fruit,Freezer,29,31.0,Fresh
Selada,Leafy Vegetable,Freezer,20,10.0,Fresh
Mangga,tropical fruit,Freezer,18,12.0,Fresh
Pakcoy,Leafy Vegetable,Chiller,4,1.0,Soon
	Lemon,Citric Fruit,Chiller,14,7.0,Fresh
Tomat,Tropical Fruit,,1,13.0,Fresh
Cabai Merah,Chili Pepper,,17,-3.0,Expired
Lemon,Citric Fruit,Chiller,11 hari,10.0,Fresh
Cabai Rawit,chili pepper,Chiller,9,1.0,Soon
Tomat,Tropical Fruit,Freezer,56,4.0,Fresh
Nanas,Tropical Fruit,Chiller,9,-2.0,Expired
Jahe,Root Vegetable,Freezer,82,8.0,Fresh
Wortel,Root Vegetable,Freezer,101,-11.0,
Mangga,Tropical Fruit,Outside,2,3.0,Soon
Mangga,Tropical Fruit,Chiller,5,2.0,Soon
Anggur,Temperate Fruit,Freezer,3,27.0,Fresh
	Ubi Jalar,ROOT VEG,Chiller,35,-5.0,Expired
Anggur,Temperate Fruit,outside,0,3.0,Soon
Alpukat,Buah Tropis,Chiller,7,0.0,
Kangkung,Leafy Vegetable,Refrigerator,1,3.0,Soon
Raspberry,Berry,Chiller,5 hari,0.0,Expired
Singkong,root vegetable,Outside,2,1.0,Soon
Raspberry,Berry,Outside,2,0.0,Basi
Pear,,Outside,0,5.0,Fresh
Brokoli,Leafy Vegetable,Freezer,10 hari,20.0,segar
Kol,Leafy Vegetable,Outside,3,0.0,Expired
Kiwi,Temperate Fruit,Outside,5,0.0,Expired
Raspberry,Berry,Outside,-1,1.0,Soon
Seledri,Leafy Vegetable,Outside,0,2.0,Soon
Jeruk Nipis,Citric Fruit,Outside,1,-999.0,Fresh
kiwi,Temperate Fruit,Outside,4,1.0,Soon
Pisang,Tropical Fruit,Freezer,3,27.0,Fresh
Jahe,,Outside,10,4.0,Fresh
Kiwi,Temperate Fruit,Outside,2,3.0,Soon
Lemon,citrus fruit,Freezer,41,19.0,Fresh
Sawi,Daun-daunan,Outside,1,0.0,Expired
Bawang Putih,Root Vegetable,Outside,11,34.0,Segar
Jeruk,Citric Fruit,Freezer,44,16.0,Fresh
lemon,Citric Fruit,Outside,2,5.0,Fresh
Bayam,Leafy Vegetable,Chiller,1,4.0,Fresh
Lemon,Citric Fruit,Freezer,58,2.0,SOON
Selada,Leafy Veg,Outside,1 hari,1.0,Soon
Tomat,Tropical Fruit,Chiller,17,-3.0,Expired
Kiwi,Temperate Fruit,Chiller,8,6.0,Fresh
Ubi Jalar,Root Vegetable,Chiller,25,5.0,Fresh
Melon,Tropical Fruit,Outside,1,4.0,
Bawang Putih,Root Vegetable,Outside,6,39.0,Fresh
Lemon,Citric Fruit,Outside,,4.0,Fresh
Tomat,Tropical Fruit,Outside,6,,Expired
Tomat,Tropical Fruit,Outside,1,4.0,Fresh
Seledri,Leafy Vegetable,Freezer,16,5.0,Fresh
Sawi,Leafy Vegetable,Outside,1,0.0,Expired
Alpukat,Tropical Fruit,Freezer,3,27.0,Fresh
Nanas,Tropical Fruit,Freezer,0,30.0,Fresh
Bawang Putih,Root Vegetable,Freezer,127,53.0,Fresh
Mangga,Tropical Fruit,beku,8,22.0,Fresh
Lemon,Citric Fruit,,0,7.0,Fresh
Pisang,Tropical Fruit,Outside,0,3.0,Soon
Kentang,Root Vegetable,Chiller,2,28.0,Fresh
Kangkung,Leafy Vegetable,Freezer,2,28.0,Fresh
Jeruk Nipis,Citrus,Chiller,11,3.0,
Anggur,Temperate Fruit,Freezer,23,7.0,Fresh
Bawang Merah,Root Vegetable,Freezer,90,90.0,Fresh
Jeruk,Citric Fruit,Freezer,,9.0,segar
Cabai Merah,Chili Pepper,Outside,3,2.0,
Singkong,Root Vegetable,Freezer,9,21.0,Fresh
Raspberry,Berry,Freezer,22,-1.0,Expired
Stroberi,BERRY,Outside,2 hari,0.0,Expired
Singkong,,Outside,2,,warning
Apel,Temperate Fruit,Chiller,17,4.0,Fresh
Singkong,Root Vegetable,Outside,1,2.0,soon
Singkong,Root Vegetable,Freezer,28,2.0,Soon
Stroberi,Berry,Chiller,2,3.0,Soon
Bawang Putih,Root Vegetable,Outside,45,0.0,Expired
Paprika,Chili Pepper,Outside,6,-1.0,Expired
Bayam,Leafy Vegetable,Outside,0,1.0,Soon
Stroberi,Berry,Beku,0,9999.0,Fresh
Singkong,Root Vegetable,Chiller,8,-1.0,Expired
Sawi,Leafy Vegetable,Outside,1,0.0,Expired
Bawang Merah ,ROOT VEG,Outside,19,11.0,Fresh
Ubi Jalar,Root Vegetable,Freezer,5,85.0,Fresh
Tomat,Tropical Fruit,Outside,1,4.0,Fresh
  Pear  ,,Outside,6,-1.0,Expired
Blueberry,Berry,Outside,1,1.0,Soon
Pepaya,Tropical Fruit,Refrigerator,2,5.0,Fresh
Pear,Temperate Fruit,Chiller,3,11.0,Fresh
Semangka,Tropical Fruit,Outside,5,2.0,Soon
Seledri,Leafy Vegetable,Chiller,9,-2.0,Expired
Apel,Temperate Fruit,Freezer,86,4.0,Fresh
Pepaya,Tropical Fruit,Freezer,17,13.0,Fresh
Cabai Merah,,Chiller,0,14.0,Fresh
Blueberry,Berry,Chiller,5,2.0,Hampir
Mangga,Tropical Fruit,Chiller,4,,Soon
Kunyit,Root Vegetable,Freezer,41,49.0,Fresh
Pear,Temperate Fruit,Outside,0,5.0,OK
Ubi Jalar,Root Vegetable,Outside,10,4.0,Fresh
Pisang,Tropical Fruit,Freezer,8,22.0,Fresh
Kunyit,Root Vegetable,Kulkas,21,9.0,fresh
Alpukat,Tropis,Chiller,6,1.0,Soon
Apel,Temperate,Outside,1,-50.0,Fresh
Paprika,Chili Pepper,Outside,3,,Soon
	Bawang Merah,Root Veg,Chiller,2,58.0,Fresh
Jahe,,Outside,13,1.0,Soon
Bawang Putih,Root Vegetable,Outside,27,18.0,Fresh
Cabai Rawit,Chili Pepper,Chiller,1,,FRESH
Melon,Tropical Fruit,CHILLER,3,4.0,Fresh
Bayam,Leafy Vegetable,Beku,20,10.0,Fresh
Semangka,Tropis,Outside,7,0.0,Expired
Alpukat,Tropical Fruit,Outside,2,1.0,Soon
Selada,Leafy Vegetable,Freezer,5,25.0,Segar
Kangkung,leafy vegetable,Chiller,3,1.0,Soon
jeruk nipis,Citrus,Chiller,17,-3.0,
 Blueberry,Berry,Outside,0,2.0,Soon
Raspberry,berrys,Freezer,19,9999.0,Soon
Jeruk,Citric Fruit,,9,-2.0,Expired
Jeruk Bali,Buah Citrus,Freezer,15,45.0,Fresh
Pear,Temperate Fruit,Chiller,,8.0,Fresh
Lemon,citrus fruit,Luar,3,4.0,Segar
Singkong,Root Vegetable,Outside,1,2.0,Soon
Kangkung,,Freezer,7,23.0,
Paprika,Chili Pepper,FREEZER,57,,Soon
Kiwi,Temperate Fruit,beku,28,32.0,Fresh
SELADA,Leafy Vegetable,Freezer,,15.0,Fresh
Ubi Jalar,Root Vegetable,,12,,Soon
Wortel,ROOT VEG,freezer,58,32.0,Fresh
Jeruk Bali,Citric Fruit,,15,15.0,Fresh
Jeruk Bali,Citrus,Freezer,65,-5.0,Basi
Brokoli,Leafy Vegetable,Outside,1,1.0,Soon
Raspberry,Berry,Outside,2,0.0,Expired
Brokoli,Leafy Vegetable,Freezer,35,-5.0,Expired
	Bawang Putih,Root Vegetable,Outside,17,,OK
Kentang,Root Vegetable,Chiller,20,10.0,Fresh
Kol,Leafy Vegetable,Freezer,30,0.0,Expired
Kunyit,Root Vegetable,Chiller,38,-8.0,Expired
Bawang Putih,,Outside,15,30.0,Fresh
Bawang Merah,Root Vegetable,Outside,16,14.0,Fresh
Pisang,,frzer,22,8.0,Fresh
Raspberry,Berry,Outside,2,0.0,Expired
Melon,Tropical Fruit,Outside,3,,Soon
Jeruk,Citric Fruit,Outside,7,0.0,Expired
Alpukat,Tropical Fruit,Chiller,4,3.0,Soon
Sawi,,Outside,0,1.0,Soon
Blueberry,Berry,Outside,2,0.0,Expired
Jeruk Bali ,Citric Fruit,Chiller,14,16.0,Fresh
Bawang Merah,Root Vegetable,Outside,8,22.0,Fresh
Alpukat,Tropical Fruit,Refrigerator,1,6.0,Fresh
  Ubi Jalar  ,Root Vegetable,Chiller,18,12.0,Fresh
Ubi Jalar,Root Vegetable,Outside,0,14.0,Fresh
Pepaya,Tropical Fruit,Outside,3,-50.0,Soon
Kiwi,,Outside,5,-999.0,Expired
Seledri,Leafy Vegetable,Outside,0,2.0,Soon
Kiwi,Temperate Fruit,Outside,1,,Fresh
Paprika,Chili Pepper,Outside,1,4.0,Fresh
BAWANG PUTIH,Root Vegetable,Chiller,75,15.0,Fresh
Blueberry,Berry,Room Temp,0,2.0,Soon
Seledri,Leafy Vegetable,Freezer,26,-5.0,Expired
Kol,Leafy Vegetable,Outside,3,0.0,Expired
SAWI,Leafy Vegetable,Chiller,2,3.0,Soon
Ubi Jalar,Root Vegetable,Freezer,27,63.0,Fresh
Cabai Rawit,Chili Pepper,Outside,2,9999.0,Soon
Melon,Tropical Fruit,Outside,0,5.0,Fresh
Raspberry,Berry,Freezer,23,-2.0,Expired
Cabai Merah,Chili Pepper,Outside,1,4.0,Fresh
Blueberry,Berry,outside,1,1.0,Soon
Lemon,Citric Fruit,,26,-5.0,Expired
Seledri,Leafy Vegetable,Freezer,14,7.0,Fresh
Singkong,Sayur Akar,Outside,0,3.0,Soon
Apel,Temperate Fruit,FREEZER,27,63.0,Fresh
 Tomat,Tropical Fruit,Outside,3,2.0,Soon
Jahe,Root Vegetable,Outside,2,12.0,Fresh
Wortel,Root Vegetable,Outside,5,0.0,Expired
Jeruk,Citric Fruit,Outside,9,-2.0,Expired
Lemon,Citric Fruit,Outside,4,3.0,SOON
Bayam,leafy vegetable,Outside,0 hari,1.0,Soon
Nanas,Tropical Fruit,Chiller,2,5.0,Fresh
Kentang,Root Vegetable,Outside,14,0.0,Expired
Kangkung,Leafy Vegetable,Outside,1,0.0,Expired
Cabai Rawit,Chili Pepper,Outside,3,1.0,Soon
Pakcoy,Leafy Vegetable,Outside,0,1.0,Warning
Jahe,Root Vegetable,Freezer,5,85.0,FRESH
Cabai Rawit,,Kulkas,7,3.0,Soon
Jahe,Root Vegetable,fridge,28,2.0,SOON
Pisang,tropical fruit,Freezer,31 hari,-1.0,Expired
Kentang,Root Vegetable,Outside,17,-3.0,Expired
Pakcoy,Leafy Vegetable,Chiller,4,1.0,Soon
Cabai Rawit,Chili Pepper,OUTSIDE,0,4.0,Fresh
Anggur,Temperate Fruit,Chiller,4,3.0,Soon
Stroberi,Berry,Chiller,5,0.0,Expired
Cabai Rawit,Cabe,Outside,0,4.0,Fresh
Alpukat,Tropis,Chiller,,2.0,Segera
Cabai Merah,Chili Pepper,Chiller,11,3.0,Soon
Tomat,Tropical Fruit,Freezer,31,29.0,Fresh
Kentang,Root Vegetable,outside,2,12.0,Fresh
 Kunyit,Root Vegetable,Outside,0,14.0,Fresh
Brokoli,Leafy Vegetable,Chiller,4,6.0,Fresh
Raspberry,Berry,Freezer,4,17.0,Fresh
Bayam,Leafy Vegetable,Chiller,0,5.0,fresh
Pear,Temperate Fruit,Freezer,57,3.0,Soon
Tomat,Tropical Fruit,Chiller,16,-2.0,Expired
Mangga,Tropical Fruit,Outside,0,5.0,Fresh
Wortel,Root Vegetable,Kulkas,3,18.0,Fresh
 Bawang Merah,Root Vegetable,Chiller,78,-18.0,Expired
Ubi Jalar,Root Vegetable,Freezer,47,43.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,29,31.0,Fresh
Selada,Leafy Vegetable,,5,2.0,Soon
Pisang,Tropical Fruit,Outside,1,2.0,Soon
Anggur,Buah Sedang,Freezer,22,8.0,Fresh
SELADA,Leafy Veg,Freezer,20,10.0,Fresh
Stroberi,Berry,Freeze,9,21.0,Fresh
Kol,Leafy Vegetable,Chiller,17,-3.0,Expired
Pakcoy,Leafy Vegetable,Chiller,1,4.0,FRESH
Brokoli,Leafy Vegetable,Chiller,6,4.0,OK
Jeruk Bali,Citric Fruit,Chiller,14,16.0,Fresh
Jahe,Root Vegetable,Outside,0,14.0,
Stroberi,Berry,Outside,1,1.0,Soon
Ubi Jalar,Root Vegetable,Chiller,36,-6.0,Expired
Singkong,Root Vegetable,Outside,2,1.0,Soon
Pakcoy,Leafy Vegetable,Outside,0,1.0,Soon
Pakcoy,Leafy Vegetable,Outside,1000,0.0,Expired
Pisang,Tropical Fruit,Outside,2,1.0,Soon
Mangga,Tropical Fruit,Freezer,27,3.0,Soon
Apel,,Freezer,115,-25.0,Expired
Pakcoy,Leafy Vegetable,Outside,0,1.0,SOON
Paprika,,Outside,2,3.0,Segera
Lemon,,Chiller,3,18.0,Fresh
Kentang,Root Vegetable,Chiller,0,30.0,Fresh
Cabai Rawit,Chili Pepper,Outside,3 hari,1.0,Soon
Raspberry,Berry,Chiller,1,4.0,Fresh
Apel ,Temperate Fruit,Freezer,51,39.0,Fresh
Apel,Temperate Fruit,Chiller,0,,Fresh
Brokoli,leafy vegetable,Outside,2,0.0,Kadaluarsa
Jeruk,Citric Fruit,Chiller,12,9.0,Fresh
Mangga,,Freezer,5,25.0,Fresh
Kangkung,Leafy Vegetable,Outside,0,1.0,Soon
Lemon,Citric Fruit,Freezer,59,1.0,Soon
Kangkung,Leafy Vegetable,Freezer,24,6.0,Fresh
Semangka,Tropical Fruit,Chiller,13,-3.0,Expired
Bawang Merah,Root Vegetable,Freezer,93,87.0,Fresh
Semangka,,Freezer,21,9.0,Fresh
Nanas,Tropical Fruit,Outside,-1,2.0,Soon
 Kentang,Root Vegetable,Outside,17,,Expired
seledri,Leafy Vegetable,Kulkas,1,6.0,Fresh
	Tomat,,Freezer,28,32.0,
Kangkung,Leafy Vegetable,Outside,0,1.0,Soon
Pepaya,,Freezer,13,,Fresh
Bawang Putih,Root Vegetable,Freezer,54,126.0,Fresh
Jeruk Nipis,,Chiller,9,5.0,Fresh
Blueberry,Berry,Chiller,7,0.0,Expired
Apel,Temperate Fruit,Outside,6,1.0,Soon
Jeruk Nipis,Citric Fruit,Chiller,10,4.0,Fresh
Selada,Leafy Vegetable,Chiller,5,2.0,Soon
Nanas,Tropical Fruit,Outside,5,0.0,Expired
Seledri,Leafy Vegetable,chiller,1,6.0,
Raspberry,Berry,,1,1.0,Soon
Selada,Leafy Vegetable,Freezer,8,22.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,10,20.0,Fresh
Singkong,Sayur Akar,Chiller,0,7.0,Fresh
Tomat,Tropical Fruit,Luar,1,4.0,Fresh
Pakcoy,Leafy Vegetable,Outside,0 hari,1.0,Soon
Lemon,Citric Fruit,Outside,4,3.0,Soon
Apel,Temperate Fruit,Chiller,21,,Expired
Jeruk Bali,Citric Fruit,Freezer,46,,Segar
Cabai Merah,Chili Pepper,Freezer,55,5.0,Fresh
Jahe,Root Vegetable,Outside,7,7.0,Fresh
Pisang,Tropical Fruit,Luar,,2.0,Warning
Kunyit,Root Vegetable,Chiller,15,15.0,Fresh
Jeruk Nipis,Citric Fruit,,21,39.0,Fresh
Mangga,tropical,Freezer,9 hari,21.0,Fresh
Semangka,,Freezer,31,-1.0,Expired
Blueberry,Berry,refrigerator,6,1.0,Soon
	Paprika,Chili Pepper,Chiller,7,7.0,
Semangka,Tropical Fruit,fridge,9,1.0,Soon
Pisang,,Freezer,5,25.0,
Pear,Temperate Fruit,Chiller,9,5.0,Fresh
KENTANG,Root Vegetable,Chiller,10,20.0,Fresh
Kunyit,Root Vegetable,,93,-3.0,Expired
Seledri,Sayur Daun,Outside,1,1.0,
ubi jalar,Root Vegetable,Outside,3,11.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,55,,
Pear,Temperate Fruit,Freezer,34,26.0,Fresh
Kol,Leafy Vegetable,Outside,0,3.0,Soon
Kangkung,Leafy Vegetable,Chiller,1,3.0,SOON
Nanas,Tropical Fruit,Outside,4,1.0,Soon
	Wortel,Root Vegetable,,101,-11.0,Expired
Pisang,Tropical Fruit,Outside,1,2.0,Soon
  Anggur  ,,Chiller,6,1.0,Soon
Seledri,Leafy Vegetable,Freezer,25,-4.0,Expired
Alpukat,Tropical Fruit,Room Temp,1,2.0,Soon
Pepaya,Tropical Fruit,Outside,2,2.0,Soon
Jeruk Bali,Citric Fruit,Chiller,37,-7.0,Expired
Stroberi,BERRY,Freezer,25,5.0,Fresh
Pepaya,Tropical Fruit,,2,5.0,Fresh
Jeruk Nipis,citric fruit,Chiller,6,8.0,Fresh
Jeruk,Citric Fruit,Chiller,25,-4.0,Expired
Melon,Tropical Fruit,Freezer,11,19.0,Fresh
Pisang,Tropical Fruit,Chiller,6,-1.0,Expired
Melon,Tropical Fruit,frozen,,22.0,Fresh
Anggur,Temperate Fruit,Outside,3,0.0,
Bayam,Leafy Vegetable,Chiller,2,3.0,Soon
  Raspberry  ,Berry,Freezer,9,12.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,5,55.0,Fresh
Bawang Merah,ROOT VEG,Freezer,130,50.0,Fresh
Ubi Jalar,Root Vegetable,Room Temp,11,3.0,
Tomat,Tropical Fruit,Chiller,18,-4.0,Expired
Kiwi,Temperate Fruit,Outside,2,3.0,Soon
Blueberry,Berry,Freezer,19,11.0,Fresh
Jeruk Bali,citrus fruit,Chiller,21,9.0,Fresh
Jeruk,Citric Fruit,Outside,5,2.0,Soon
Pepaya,Tropical Fruit,Chiller,5,2.0,Soon
Bawang Putih,Root Vegetable,FREEZER,64,116.0,Fresh
Cabai Rawit,Chili Pepper,Outside,0,4.0,Fresh
Alpukat,Tropical Fruit,Chiller,,7.0,Fresh
Apel,Temperate Fruit,Chiller,15 hari,,Fresh
Pakcoy,,Outside,0,1.0,soon
Bawang Putih,Root Vegetable,beku,18,162.0,Fresh
Cabai Rawit,Chili Pepper,frzer,52,8.0,Fresh
Pepaya,Tropical Fruit,,3,1.0,Soon
Seledri,Leafy Vegetable,Freezer,6,15.0,ok
Apel,Temperate Fruit,Outside,6,1.0,Soon
Pear,Temperate Fruit,Freezer,35,25.0,Fresh
Jeruk,Citric Fruit,Freezer,34,,Fresh
Melon,Tropical Fruit,Freezer,30,0.0,Expired
Pear,Temperate Fruit,Freezer,62,-2.0,Expired
Pear,Temperate Fruit,Outside,6,-1.0,Expired
Semangka,Tropical Fruit,FREEZER,34,-4.0,Expired
Kol,Leafy Vegetable,Freezer,27,3.0,Soon
Raspberry,Berry,Outside,1,1.0,Soon
Stroberi,Berry,Chiller,4,1.0,SOON
Kangkung,Leafy Vegetable,Chiller,,1.0,Soon
Brokoli,Sayur Daun,Chiller,9,1.0,Soon
Singkong,Root Vegetable,Freezer,15,15.0,Fresh
Pepaya,Tropical Fruit,Outside,2,2.0,Soon
Anggur,Temperate Fruit,Freezer,5,25.0,Fresh
Apel,Temperate Fruit,Chiller,25,-50.0,Expired
Bayam,Leafy Vegetable,Outside,0,1.0,Soon
Pakcoy,Leafy Vegetable,Outside,0,1.0,Soon
Melon,Tropical Fruit,Outside,0,5.0,Fresh
  Cabai Rawit  ,Chili Pepper,Outside,3,1.0,Soon
Raspberry,Berry,Chiller,2,3.0,Soon
Cabai Merah,Chili Pepper,Chiller,3,11.0,Fresh
Bawang Putih,root vegetable,Chiller,48,42.0,segar
Kunyit,,Chiller,14,16.0,Fresh
Pepaya,Tropical Fruit,Outside,2,2.0,Soon
Raspberry,Berry,refrigerator,2,3.0,Soon
Jeruk,Citric Fruit,Freezer,50,10.0,Fresh
Bawang Merah,Root Vegetable,refrigerator,,-10.0,Expired
Selada,Leafy Vegetable,Chiller,1,6.0,Fresh
Cabai Merah,Chili Pepper,Outside,4,1.0,Soon
Wortel,Root Vegetable,Freezer,47,,Fresh
Melon ,Tropical Fruit,Outside,4,1.0,Soon
Pepaya,Tropical Fruit,beku,39,-9.0,Expired
Paprika,Chili Pepper,Chiller,14,0.0,Expired
Paprika,CHILI,Chiller,,1.0,Soon
singkong,Root Vegetable,Outside,3,0.0,Expired
Brokoli,Leafy Vegetable,Chiller,10,0.0,Basi
Jahe,root vegetable,Outside,3,11.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,31,-1.0,Expired
Bayam,Leafy Vegetable,Freezer,,27.0,Fresh
Apel,Temperate Fruit,Freezer,43,47.0,Fresh
Stroberi,berrys,Chiller,3,2.0,Soon
Cabai Merah,chili,Chiller,8,6.0,Fresh
Kol,Sayur Daun,Freezer,-1,5.0,OK
Kunyit,Root Vegetable,Outside,5,9.0,FRESH
Melon,Buah Tropis,Freezer,17,13.0,Fresh
Jahe,Root Vegetable,,6,24.0,Fresh
Jahe,Root Vegetable,Outside,3,11.0,Fresh
Jeruk,citric fruit,Kulkas,-5,9.0,FRESH
Lemon,Citric Fruit,Freezer,44,16.0,Fresh
Bawang Merah,Root Vegetable,,14,16.0,Fresh
Nanas,Tropical Fruit,Freezer,11,19.0,Fresh
Pisang,Tropical Fruit,Freezer,39,-9.0,Expired
pear,Temperate Fruit,Outside,6,-1.0,Expired
Raspberry,Berry,Freezer,2,,Fresh
Bayam,Leafy Vegetable,Chiller,6,-1.0,Expired
Singkong,,Outside,3,0.0,Expired
Melon,Tropical Fruit,Room Temp,4,1.0,Soon
Cabai Rawit,Chili Pepper,Chiller,10,0.0,Expired
Brokoli,Leafy Vegetable,Chiller,12,-2.0,Expired
Kiwi,Temperate Fruit,Freezer,72,-12.0,Expired
Tomat,Tropical Fruit,Outside,3,2.0,Soon
Pepaya,Tropical Fruit,Outside,3,1.0,Soon
Kangkung,Leafy Vegetable,Outside,1,0.0,Basi
Kunyit,Root Vegetable,Freezer,73,17.0,Fresh
Semangka,Tropical Fruit,Room Temp,9,-2.0,Expired
Tomat,,Chiller,10,4.0,Fresh
Semangka,Tropical Fruit,Chiller,2,8.0,ok
Jahe,Root Vegetable,Chiller,0,30.0,Fresh
Paprika,Chili Pepper,Freezer,49,11.0,Fresh
Pear,Temperate Fruit,Chiller,1,13.0,Fresh
Kentang,Root Vegetable,,40,50.0,Fresh
Nanas,,Outside,2,3.0,Soon
Selada,Leafy Vegetable,Chiller,0,7.0,Fresh
Mangga,Tropical Fruit,Freezer,23,7.0,segar
	Pear,Temperate,Outside,6,-1.0,Expired
Stroberi,,Outside,0,2.0,Soon
Anggur,Temperate Fruit,Freezer,16,14.0,Fresh
Kunyit,,Chiller,18,12.0,Fresh
Stroberi,Berry,Chiller,1,4.0,Fresh
Pakcoy,Leafy Vegetable,Freezer,21,0.0,Expired
Selada,,Chiller,2,5.0,fresh
Jeruk Bali,Citric Fruit,Freezer,32,28.0,Fresh
Blueberry,Berry,Suhu Ruangan,0,2.0,Soon
Tomat,Tropical Fruit,Chiller,16,-2.0,Expired
Wortel,Root Vegetable,Chiller,12,9.0,Fresh
Cabai Merah,Chili Pepper,Chiller,0,14.0,Fresh
Sawi,Leafy Vegetable,freezer,18,12.0,Fresh
Blueberry,,Freezer,20,10.0,
Tomat,Tropical Fruit,Outside,2,3.0,Soon
Jahe,Root Veg,Outside,4,10.0,Fresh
Alpukat,Tropical Fruit,Outside,0,3.0,hampir
