food_name,food_category,packaging_type,storage_location,is_opened,days_to_expire,days_since_opened,sisa_hari,label
Jus Anggur,,Botol Kaca,Chiller,1,151,10 days,-5.0,Expired
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,,368 hari,,-3.0,Expired
Susu Bubuk Skim ,Produk Olahan Susu,Karton,Outside,1,631,27,3.0,Soon
Yogurt Stroberi,Produk Olahan Susu,Plastic,Chiller,0,6,0,6.0,Soon
Yogurt Blueberry,Produk Olahan Susu,Plastick,Chiller,0,18,0,18.0,
Yogurt Mangga,Produk Olahan Susu,Plastik,Chiller,0,29,0,29.0,Fresh
Sereal Muesli,Produk Kering,Karton,Outside,0,230,0,230.0,Fresh
Ikan Salmon,PRODUK KALENG,Kaleng,OUTSIDE,False,711,0,711.0,Fresh
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,0,666,0,666.0,Fresh
	Ikan Tuna,Canned,Kaleng,Outside,0,494,0,494.0,fresh
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,1,8,2,-1.0,Expired
Nanas Kaleng,Produk Kaleng,kaleng ,Outside,False,269,0,269.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,1,9,8,-3.0,Expired
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,12,0,12.0,FRESH
Sereal Coklat,,Karton,Outside,1,11,6,11.0,Fresh
Biskuit Oreo,Produk Kering,,Outside,0,71,,71.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,1,708,3,-2.0,kadaluarsa
Sosis Bebek,Produk Protein,PLASTIK,Chiller,1,45,5,2.0,Soon
Cola Original,,Kaleng,,1,59,3,-2.0,expired
cola original,Produk Minuman,Kaleng,Outside,1,21,3,,Expired
Sosis Frozen,Produk Protein,Plastik,Freezer,1,3,1,2.0,Soon
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,yes,3,19,,Soon
Sosis Ikan,Produk Protein,Plastick,,0,13,,13.0,Fresh
Susu UHT Vanila,Produk Olahan Susu,KARTON,Chiller,1,139,3,-2.0,Expired
Yogurt Blueberry,Produk Olahan Susu,Plastik,Chiller,1,17,8,-5.0,Expired
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,0,239,0,,Fresh
Jus Apel,Produk Minuman,Karton,Chiller,Yes,3,,0.0,Expired
Jus Mangga,Produk Minuman,Karton,Chiller,No,107,0,107.0,Fresh
Susu Kedelai,Produk Olahan Susu,karton,Chiller,1,,1,4.0,Soon
Mie Instan Ayam,Produk Kering,Plastik,OUTSIDE,1,174,5,-5.0,Basi
Sosis Sapi,Prod. Protein,Plastik,Chiller,1,23,1,4.0,
Cola Original,Produk Minuman,Kaleng,Outside,1,123,2,-1.0,Expired
Minuman Energi,Produk Minuman,Kaleng,Outside,True,148,1,0.0,Basi
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,0,48,0,48.0,Fresh
Minuman Isotonik,Prod. Minuman,Plastik,Luar,0,50,0,50.0,Fresh
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,0,550,0,550.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastick,Chiller,1,10,5,-2.0,Kadaluarsa
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,1,13,3,0.0,
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,27,5,9.0,Fresh
Biskuit Sandwich,Produk Kering,Plastik,Outside,,,5,-50.0,Expired
Leci dalam Sirup,canned,Kaleng,OUTSIDE,1,511,4,-1.0,Expired
Susu UHT Low Fat,Olahan Susu,Karton,fridge,0,218,0,218.0,Fresh
Susu Bubuk Skim,,Karton,Outside,1,625,15,15.0,Fresh
Sereal Coklat,Produk Kering,Karton,Outside,0,7,0,7.0,Soon
Air Mineral,Produk Minuman,Plastik,Outside,1,674,5,-4.0,Expired
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,1,11,2,1.0,Soon
Jus Mangga,Produk Minuman,Karton,Chiller,0,127,0,127.0,Fresh
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,0,336,0,336.0,Fresh
SOSIS FRANKFURTER,Produk Protein,Plastik,Chiller,1,47,9,-2.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,94,1,2.0,Soon
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,,,3,-2.0,Expired
Teh Kotak Hijau,Produk Minuman,Karton,Outside,0,262,0,262.0,Fresh
Jus Sirsak,Produk Minuman,Karton,Chiller,true,167,7,-4.0,Expired
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,56,2,0.0,Expired
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,1,10000,32,-2.0,Expired
	Nugget Ikan,Produk Protein,Plastik,Freezer,0,66,0,66.0,Fresh
Sosis Bebek,Produk Protein,Plastik,Chiller,0,28,0,28.0,Fresh
Cola Original,Produk Minuman,Kaleng,outside,1,258,1,0.0,Expired
Sarden Minyak Zaitun,produk kaleng,,Outside,0,290,0,290.0,Fresh
Jus Apel,Produk Minuman,Karton,Chiller,0,85,0,85.0,Fresh
Sereal Granola,Produk Kering,carton,Outside,0,270,0,270.0,Fresh
Sosis Ayam,Protin,Plastik,CHILLER,0,43,0,43.0,ok
Air Mineral,Produk Minuman,Plastik,Outside,0,488,0,488.0,Fresh
Ikan Makerel,Produk Kaleng,Kaleng,Outside,1,532,6,-4.0,Expired
Susu Bubuk Skim,Produk Olahan Susu,Kardus,Outside,0,317,0,317.0,Fresh
Susu Bubuk Full Cream,Prod. Susu,Karton,Outside,1,723,25,,Soon
Sarden Cabai,,Kaleng,Outside,Yes,663,4,-2.0,Expired
Teh Kotak Jasmine,,Karton,,0,141,0,141.0,Fresh
Soda Jeruk,,Kaleng,Outside,0,133,0,133.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,0,141,0,141.0,Fresh
Sereal Cornflakes,Produk Kering,Karton,Luar,0,59,0,59.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,640,21,9.0,Fresh
Keju Cheddar,produk olahan susu,Plastik,Chiller,,112 hari,11,3.0,
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,0,275,0,275.0,Fresh
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,0,717,0,717.0,Fresh
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,730,8,-5.0,Expired
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Chiller,1,637,5,-2.0,Expired
Nugget Ayam,,,Freezer,1,164,5,-2.0,Expired
Yogurt Plain,Produk Olahan Susu,Plastik,Kulkas,1,4 hari,1,4.0,Soon
BISKUIT CRACKERS,Produk Kering,Plastik,Outside,0,53,0,53.0,
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,1,235,12,,Fresh
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,0,20,0,20.0,Fresh
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,0,604,0,604.0,Fresh
Sereal Cornflakes,Produk Kering,Karton,Outside,1,219,,16.0,Fresh
Biskuit Sandwich,Produk Kering,Plastik,OUTSIDE,0,114,0,114.0,Fresh
Ikan Salmon,PRODUK KALENG,Kaleng,Outside,1,823,4,-2.0,Expired
Mie Instan Soto,Produk Kering,Plastik,Outside,1,59,3 days,-3.0,Expired
Ikan Makerel ,Produk Kaleng,Kaleng,Outside,0,895,0,895.0,Fresh
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,283,2,1.0,Soon
Sosis Ikan,Produk Protein,Plastik,Chiller,0,4,0,4.0,Soon
Sarden Tomat,Produk Kaleng,KALENG,Outside,0,858,0,858.0,Fresh
Jus Mangga,Produk Minuman,Karton,Chiller,0,163,0,163.0,Fresh
Jus Nanas,Produk Minuman,Tetrapak,fridge,1,109,4,1.0,
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,323,3,11.0,Fresh
Keju Mozzarella,Produk Olahan Susu,Plastik,Chiller,1,37,4,3.0,Soon
Sereal Oat,Produk Kering,Karton,Outside,0,127,0,127.0,Fresh
Air Mineral,,Plastik,Outside,0,10000,0,-50.0,Fresh
Biskuit Sandwich,produk kering,Plastik,outside,0,107,0,107.0,Fresh
Nugget Udang,Produk Protein,Plastik,Freezer,0,171,0 days,171.0,Fresh
Teh Kotak Jasmine,produk minuman,Karton,Outside,0,40,0,40.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,0,119,0,119.0,segar
Jus Jambu,PRODUK MINUMAN,Karton,Chiller,0,61,0,61.0,Fresh
Persik Kaleng,Kaleng,Can,Outside,False,211,0,,
Keju Parmesan,Produk Olahan Susu,,Chiller,0,251,0,251.0,Fresh
Nugget Ikan,Produk Protein,Plastic,Freezer,1,41,1,2.0,Soon
Biskuit Wafer,Produk Kering,Plastik,Outside,1,14,2,3.0,Soon
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,161,2,1.0,Soon
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,1,16,7,-2.0,Expired
Ikan Salmon,Canned,Kaleng,Outside,1,932,1,1.0,Soon
Biskuit Sandwich,Produk Kering,Plastik,Luar,0,78,0,78.0,Fresh
BISKUIT CRACKERS,Produk Kering,Plastik,Outside,0,42,0,42.0,Fresh
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,0,16,0,16.0,Fresh
Nugget Tempe,produk protein,Plastik,FREEZER,1,,6,-3.0,Expired
Sereal Muesli,Produk Kering,,Outside,1,57,7,23.0,Fresh
Susu UHT Low Fat,Produk Olahan Susu,Karton,Chiller,0,169,0,169.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,883,3,-1.0,Expired
Biskuit Marie,dry food,Plastik,Outside,1,17,9,-2.0,
Leci dalam Sirup,Produk Kaleng,Kaleng,Outside,1,120,4,-1.0,Expired
Soda Lemon,Produk Minuman,Kaleng,Outside,Yes,322,3,-2.0,expired
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,1,7,4,-1.0,Expired
Mie Instan Soto,Produk Kering,Plastik,Outside,1,126,3,-3.0,Expired
Biskuit Oatmeal,Produk Kering,Plastik,Outside,1,98,7,0.0,Expired
Minuman Energi,produk minuman,Kaleng,Outside,0,239,0,239.0,Fresh
Teh Kotak Jasmine,Produk Minuman,Karton,Suhu Ruangan,False,337,0,337.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,105,0,105.0,Fresh
Yogurt Stroberi,Dairy,Plastik,Chiller,0,25,0,25.0,Fresh
Nugget Ayam,Produk Protein,Plastik,Freezer,0,156,0,156.0,Fresh
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,0,104,0,104.0,Fresh
Susu UHT Low Fat,Produk Olahan Susu,Karton,Chiller,0,182,0,182.0,
Susu Kental Manis Putih,Dairy,Kaleng,Chiller,0,20,0,20.0,ok
Mie Instan Goreng,Produk Kering,Plastik,Outside,0,18,0,18.0,Fresh
Yogurt Greek,Produk Olahan Susu,plastik,Chiller,0,10,0,10.0,ok
Sereal Granola,Produk Kering,Karton,Outside,0,46,0,46.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Dingin,0,2,,2.0,Soon
Mangga Kaleng,Kaleng,,Outside,1,424,3,0.0,Expired
Nugget Ikan,Produk Protein,Plastik,Freezer,0,39,0,39.0,Fresh
Susu Bubuk Bayi,Olahan Susu,Karton,outside,0,182,0 days,182.0,
Yogurt Stroberi,Prod. Susu,Plastik,Chiller,no,29,0,29.0,Fresh
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,0,833,0,833.0,Fresh
Yogurt Mangga,Produk Olahan Susu,Plastik,Chiller,1,,2,9999.0,Soon
Sosis Sapi,,PLASTIK,Chiller,1,22,6,-1.0,Expired
Susu Pasteurisasi,Dairy,Plastik,Chiller,1,12,4,-1.0,Expired
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Outside,1,297,8,22.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,,62,2,19.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,195,8,22.0,Fresh
Susu Kental Manis Coklat,dairy,Kaleng,Chiller,No,139,0,,Fresh
Sosis Frozen,Produk Protein,PLASTIK,Freezer,1,161,3,0.0,Expired
Susu UHT Full Cream,Produk Olahan Susu,Karton,Chiller,0,124,0,124.0,Fresh
Susu UHT Coklat,Produk Olahan Susu,Karton,Refrigerator,1,224 hari,5,-4.0,Expired
Nugget Udang,,Plastik,frozen,0,1,0,1.0,Soon
Nugget Ikan,Produk Protein,Plastik,frozen,0,81,0,81.0,Fresh
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,0,5,0 days,5.0,Soon
Biskuit Oreo,Produk Kering,PLASTIK,Outside,0,162,,162.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,13,6,-3.0,Basi
Susu Kental Manis Coklat,produk olahan susu,Kaleng,Chiller,0,623,0,623.0,Fresh
Mangga Kaleng,Kaleng,Kaleng,Outside,,187 hari,0,187.0,Fresh
Nugget Ikan,Produk Protein,Plastik,Freezer,0,49,0,49.0,Fresh
Persik Kaleng,Produk Kaleng,Kaleng,Outside,1,,6,-3.0,Expired
Sereal Oat,Produk Kering,Karton,Outside,1,289,14,16.0,Fresh
Sosis Ikan,Produk Protein,Plastik,Chiller,0,25,0,25.0,Fresh
Persik Kaleng,Produk Kaleng,Kaleng,Outside,1,450,7,-4.0,expired
Keju Mozzarella,Produk Olahan Susu,Polimer,,,26,8,-1.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Outside,1,46,5,2.0,Soon
  Susu Bubuk Coklat  ,Produk Olahan Susu,Karton,Outside,1,363 hari,28,2.0,
Sosis Ikan,Produk Protein,Plastik,Chiller,1,,3,0.0,Expired
Mie Instan Goreng,Produk Kering,Plastik,Outside,0,,0,125.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,13,7,-4.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Outside,yes,116,10,-3.0,Expired
Biskuit Mentega,Produk Kering,kaleng,Outside,1,196,11,3.0,Soon
Biskuit Digestive,Produk Kering,Plastik,Outside,0,63,0,63.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,22,10,4.0,Soon
Sosis Ikan,Produk Protein,Plastik,,0,17,0,17.0,Fresh
Nugget Udang,Produk Protein,Plastik,,1,24,2,1.0,Soon
Persik Kaleng,Produk Kaleng,Kaleng,Luar,0,147,0,147.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,665,3,-1.0,Expired
Persik Kaleng,,Tin,Outside,1,488,8,-5.0,basi
Jus Anggur,Produk Minuman,Botol Kaca,Kulkas,0,125,0,125.0,segar
Mie Instan Soto,Produk Kering,Plastik,Outside,0,338,0,338.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,0,172,0,,ok
Nugget Tempe,produk protein,Plastic,Freezer,,,0,19.0,Fresh
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,0,222,0,222.0,Fresh
Nugget Sapi,,Plastik,Freezer,0,69,0,69.0,Fresh
Jus Anggur,Minuman,Botol Kaca,Chiller,0,92,0,92.0,
Sarden Tomat,Produk Kaleng,Kaleng,Outside,0,757,0,757.0,Fresh
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,0,11 hari,0,11.0,Fresh
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,False,1,0,1.0,Soon
Yogurt Blueberry,Dairy,,Chiller,1,1,7,-4.0,
Cola Original,beverage,Kaleng,Outside,1,48 hari,3,-2.0,Expired
Sosis Frankfurter,Produk Protein,Plastik,Dingin,1,72,10,-3.0,expired
Sosis Frozen,PRODUK PROTEIN,Plastik,Freezer,1,80,8,-5.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,220,0,220.0,Fresh
Sereal Oat,Produk Kering,Karton,Outside,1,60,32 days,-2.0,kadaluarsa
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,1,227,7,-4.0,Expired
Persik Kaleng,Produk Kaleng,Kaleng,Outside,1,318,2,1.0,hampir
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,True,239,4,-1.0,Expired
Ikan Tuna,Produk Kaleng,Kaleng,,1,60,5,-3.0,Expired
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,1,520,2,1.0,Soon
Yogurt Minum Probiotik,dairy,Botol Kaca,Chiller,0,21,0,21.0,Fresh
Teh Kotak Jasmine,Produk Minuman,karton,Outside,0,309,0,309.0,Fresh
Jagung Manis Kaleng,Canned,Kaleng,Chiller,0,156,0,156.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,258,0,258.0,fresh
Nugget Tempe,Produk Protein,Plastik,beku,1,117,6,-3.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,0,718,0,718.0,Fresh
Kornet Sapi,Produk Kaleng,Kaleng,Outside,0,899,0,899.0,Fresh
Sosis Bebek,Produk Protein,plastik,Chiller,0,87,0,87.0,Fresh
Susu UHT Full Cream,Produk Olahan Susu,Karton,Chiller,0,44,0 days,44.0,Fresh
Susu Kedelai,Produk Olahan Susu,Karton,Kulkas,1,140,4,,Soon
Mie Instan Ayam,Produk Kering,Plastik,Outside,0,,0,315.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,1,82,3,4.0,Warning
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,1,45,13,1.0,Soon
Biskuit Oreo,dry food,Plastik,Outside,1,65,6,1.0,Soon
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,1,288,33,-3.0,Expired
Sarden Cabai,Produk Kaleng,Kaleng,Outside,0,766 hari,0,766.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,0,101,0,101.0,Fresh
 Sarden Cabai,Produk Kaleng,Kaleng,Outside,1,50 hari,2,0.0,Expired
Nugget Sapi,Produk Protein,Plastik,Freezer,0,140,0,140.0,Fresh
Jus Sirsak,Produk Minuman,Karton,Chiller,0,77,0,77.0,Fresh
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,1,424,4,26.0,Fresh
Soda Jeruk,produk minuman,Kaleng,Outside,0,337,0,337.0,Fresh
Sosis Ayam,Produk Protein,Plastik,Chiller,1,11 hari,9,-4.0,Expired
air soda,Produk Minuman,Plastik,Outside,0,356,0,356.0,OK
Jus Jambu,Produk Minuman,Karton,Chiller,0,106,0,106.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,2,0,2.0,Soon
Minuman Isotonik,Produk Minuman,,Outside,1,302,5,-4.0,Expired
Nugget Ayam,Produk Protein,Plastik,Freezer,0,176,0,176.0,fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,0,80,0,80.0,Fresh
Susu UHT Full Cream,Produk Olahan Susu,Karton,,0,149,,149.0,Fresh
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,0,5,0,5.0,Soon
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,1,9,3,-2.0,Expired
Nugget Tempe,Produk Protein,Plastik,Freezer,0,10,0,10.0,Fresh
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,239,17,-3.0,Expired
Jagung Manis Kaleng,Produk Kaleng,KALENG,Chiller,1,553,4,-1.0,Expired
Sosis Sapi,PRODUK PROTEIN,Plastik,Chiller,0,55,0,55.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Room Temp,1,41,1,6.0,Soon
Susu UHT Coklat,Dairy,Karton,Chiller,1,5,1,0.0,basi
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,290,4,-4.0,Expired
JUS JAMBU,Produk Minuman,Karton,Chiller,0,163,0 days,163.0,Fresh
Kornet Sapi,Produk Kaleng,,Outside,,513,0,513.0,Fresh
Teh Botol,Produk Minuman,,Outside,0,224,0,224.0,Segar
Susu Bubuk Full Cream,Produk Olahan Susu,karton ,Outside,0,633,0,633.0,Fresh
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,1,471,1,2.0,Soon
Susu UHT Coklat,Produk Olahan Susu,Karton,Chiller,1,259,4,-3.0,Expired
Jus Anggur,Produk Minuman,BOTOL KACA,Chiller,0,88,0,88.0,Fresh
Teh Kotak Jasmine,produk minuman,Karton,Outside,1,264,6,-5.0,expired
Nugget Tempe ,Produk Protein,Plastik,,1,72,2,,Soon
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,1,283,3,-2.0,Basi
Minuman Energi ,,Kaleng,Outside,,180,0,180.0,Fresh
Sosis Frankfurter,Produk Protein,PLASTIK,Chiller,0,8,0,8.0,Fresh
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,64,3,0.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,yes,70,5,-2.0,Expired
Sosis Ayam,Produk Protein,Plastik,Chiller,1,39,,3.0,Soon
Biskuit Marie,Dry Food,Plastik,Outside,Tidak,164,0,164.0,Fresh
Soda Lemon,Produk Minuman,Kaleng,Outside,0,14,0,14.0,Fresh
Sereal Oat,Produk Kering,Karton,,0,254,0,254.0,Fresh
Jus Apel,Produk Minuman,Karton,Dingin,1,71,4,1.0,Soon
Jus Anggur,,Botol Kaca,Chiller,0,167 hari,0,9999.0,Fresh
Biskuit Digestive ,Produk Kering,PLASTIK,Outside,1,25,10,4.0,Soon
Susu Pasteurisasi,dairy,Plastik,Chiller,1,6,2,,Soon
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,56,0,56.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,1,14,7,-2.0,Expired
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,1,7,3,2.0,Soon
