nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label
Mangga,Buah,Pendingin,5.0,22.0,Mentah
Kentang,Sayur,Pendingin,4.0,30.9,Segar
Cabe,Sayur,Suhu Ruang,1.0,5.9,Segar
Tomat,Sayur,Suhu Ruang,1.0,0.8,
Apel,Buah,Pendingin,-99.0,1726.1,null
Cabe,Sayur,Pendingin,0.0,1309.7,Busuk
Apel,Buah,Suhu Ruang,3.0,3.5,Terlalu Matang
Anggur,Buah,Suhu Ruang,-5.0,872.0,Matang
Mangga,Buah,Suhu Ruang,5.0,11.9,Mentah
Timun,Sayur,Pembeku,4.0,27.4,Segar
Pisang,Buah,Pendingin,1.0,4.1,Terlalu Matang
Anggur,Buah,Pendingin,1.0,1.5,Busuk
Timun,Sayur,Suhu Ruang,1.0,1.5,OK
Tomat,Sayur,Pembeku,2.0,2.5,Busuk
Anggur,Buah,Suhu Ruang,1.0,0.4,Busuk
Jeruk,Buah,Pendingin,1000.0,885.4,Mentah
Tomat,Sayur,Suhu Ruang,2.0,1.2,Busuk
Wortel,Sayur,Pendingin,1.0,3.7,Busuk
Timun,Sayur,,-99.0,80.2,N/A
Jeruk,Buah,Pendingin,4.0,22.2,Mentah
Jeruk,Buah,Pendingin,0.0,10.4,Terlalu Matang
Apel,Buah,Suhu Ruang,2.0,9.0,Matang
Anggur,Buah,Pendingin,0.0,7.2,Terlalu Matang
N/A,Sayur,Suhu Ruang,6.0,10.7,Segar
Mangga,Buah,Suhu Ruang,2.0,3.3,Terlalu Matang
Cabe,,Suhu Ruang,2.0,0.6,Busuk
Kentang,Sayur,Pembeku,2.0,8.2,Busuk
Pisang,Buah,Pendingin,1.0,1.3,Busuk
Jeruk,Buah,Pembeku,1.0,16.6,Terlalu Matang
Tomat,Sayur,,5.0,36.7,
Wortel,Sayur,Pendingin,1.0,1.8,Busuk
Apel,Buah,Suhu Ruang,1.0,11.0,Matang
Kentang,Sayur,Pendingin,0.0,3.4,Busuk
Pisang,Buah,Pendingin,0.0,0.7,Busuk
Kentang,Sayur,Suhu Ruang,1000.0,4633.6,Segar
Cabe,Sayur,Luar Ruangan,1.0,2.0,Busuk
Tomat,Sayur,Suhu Ruang,6.0,6.2,Segar
Timun,Sayur,Suhu Ruang,0.0,0.5,Busuk
Kentang,Sayur,Suhu Ruang,2.0,2.0,Busuk
Apel,Buah,Pendingin,8789.0,6475.1,Matang
Apel,Buah,Pendingin,0.0,0.7,Busuk
Tomat,Sayur,Gudang,6.0,33.2,Segar
Timun,Sayur,Pendingin,5.0,25.2,Segar
Cabe,Sayur,Pendingin,1.0,0.0,Busuk
,Sayur,Pendingin,9999.0,1564.8,
Kentang,Sayur,Suhu Ruang,0.0,0.4,Busuk
Anggur,Buah,Pendingin,-10.0,-276.2,Terlalu Matang
Mangga,Buah,Pembeku,0.0,14.2,Terlalu Matang
Apel,Buah,Suhu Ruang,1.0,4.2,Terlalu Matang
Mangga,Buah,Pembeku,0.0,2.7,Busuk
Pisang,Buah,Pendingin,1.0,0.4,Busuk
Anggur,Buah,Suhu Ruang,0.0,7.4,Matang
Tomat,Sayur,Pembeku,2.0,6.3,Busuk
Cabe,Sayur,Suhu Ruang,1.0,7.1,Segar
Timun,Sayur,Suhu Ruang,2.0,0.8,Busuk
Jeruk,Buah,Pendingin,3.0,21.0,Matang
Timun,Sayur,Pendingin,1.0,1.9,Busuk
,Buah,Pembeku,-99.0,659.5,
Kentang,Sayur,Pendingin,3.0,28.3,Segar
Jeruk,Buah,Pembeku,1.0,3.9,Busuk
Apel,Buah,Suhu Ruang,1.0,3.5,Terlalu Matang
Pisang,Buah,Pendingin,0.0,5.6,Terlalu Matang
Apel,Buah,Pembeku,1.0,40.1,Mentah
Timun,Sayur,Pembeku,1.0,38.0,1
Pisang,Buah,Suhu Ruang,1.0,0.7,Busuk
Mangga,Buah,Suhu Ruang,0.0,2.6,Terlalu Matang
Pisang,Buah,Pembeku,0.0,7.1,Terlalu Matang
Mangga,Buah,Pendingin,2.0,5.4,Terlalu Matang
Mangga,Buah,Pembeku,0.0,14.2,Terlalu Matang
Wortel,Sayur,Suhu Ruang,-99.0,143.2,null
Jeruk,Buah,Pendingin,3.0,7.0,Terlalu Matang
Jeruk,Buah,Pendingin,-328.0,-742.8,Mentah
Kentang,Sayur,Suhu Ruang,2.0,2.6,Busuk
Wortel,Sayur,Suhu Ruang,2.0,8.7,Segar
Jeruk,Buah,Pendingin,0.0,0.1,Busuk
Jeruk,Buah,Pembeku,2.0,19.3,Terlalu Matang
Tomat,Sayur,Pembeku,1.0,30.0,Segar
Mangga,Buah,Pendingin,0.0,14.1,Matang
Mangga,Buah,Suhu Ruang,5.0,11.4,Mentah
Anggur,Buah,Pendingin,2.0,17.1,Mentah
,Buah,,,,Terlalu Matang
Cabe,Sayur,Suhu Ruang,1.0,0.6,Busuk
Timun,Sayur,Pendingin,2.0,2.6,Busuk
Wortel,Sayur,Pendingin,0.0,2.4,Busuk
Tomat,Sayur,Suhu Ruang,6.0,10.1,Segar
Wortel,Sayur,Pembeku,2.0,1.8,Busuk
Anggur,Buah,Suhu Ruang,1.0,0.6,Busuk
Tomat,Sayur,Pendingin,3.0,21.9,Segar
Jeruk,Buah,Pembeku,0.0,1.8,Busuk
Tomat,Sayur,Pembeku,0.0,1.0,Busuk
Tomat,Sayur,Suhu Ruang,2.0,5.8,Segar
,Sayur,,4.0,15.7,
,,Suhu Ruang,5.0,5.6,Segar
Kentang,Sayur,Pendingin,0.0,20.8,Segar
UNKNOWN,Sayur,Suhu Ruang,1.0,8.8,Segar
Tomat,Sayur,Pendingin,1.0,0.3,Busuk
Mangga,Buah,Pendingin,0.0,23.6,Mentah
Apel,Buah,Pendingin,9999.0,2266.5,null
Jeruk,Buah,Suhu Ruang,1.0,13.4,Mentah
Timun,Sayur,Pembeku,1.0,1.9,Busuk
Kentang,Sayur,Pendingin,1.0,2.0,Busuk
Wortel,Sayur,Pendingin,0.0,31.1,Segar
Mangga,Buah,Pembeku,1.0,3.1,Busuk
Cabe,Sayur,Pendingin,3.0,12.1,Segar
Mangga,Buah,Pembeku,5.0,26.0,Matang
Wortel,Sayur,Pendingin,2.0,1.6,Busuk
Timun,Sayur,Pembeku,2.0,27.6,Segar
Apel,Buah,Pembeku,2.0,12.4,Terlalu Matang
Kentang,Sayur,Suhu Ruang,2.0,18.2,Segar
Kentang,Sayur,Pembeku,0.0,4.9,Busuk
Pisang,Buah,Pendingin,2.0,5.3,Terlalu Matang
Wortel,Sayur,Pembeku,0.0,4.7,Busuk
Cabe,Sayur,Suhu Ruang,1.0,1.3,Busuk
Anggur,Buah,Suhu Ruang,2.0,2.5,Terlalu Matang
Pisang,Buah,Suhu Ruang,2.0,,
Anggur,Buah,Pendingin,1.0,5.6,Terlalu Matang
Pisang,Buah,Pembeku,-527.0,-230.4,Terlalu Matang
Timun,Sayur,Suhu Ruang,0.0,0.9,Busuk
Jeruk,Buah,Pendingin,6.0,30.6,Mentah
Apel,,Pembeku,3.0,17.8,
Jeruk,Buah,Pembeku,0.0,2.7,Busuk
Apel,Buah,Pembeku,0.0,10.5,Terlalu Matang
Anggur,Buah,Pembeku,0.0,27.3,Matang
Pisang,Buah,Pembeku,5.0,26.7,Matang
Wortel,Sayur,Pembeku,1.0,10.1,Busuk
Tomat,Sayur,Pendingin,3.0,10.4,Segar
Apel,Buah,Suhu Ruang,2.0,10.6,Mentah
Cabe,Sayur,Pendingin,0.0,1.3,Busuk
Kentang,Sayur,Suhu Ruang,0.0,0.1,Busuk
Pisang,Buah,Pendingin,0.0,0.3,Busuk
Kentang,Sayur,Suhu Ruang,2.0,1.9,Busuk
Wortel,Sayur,Suhu Ruang,2.0,0.5,Busuk
Mangga,Buah,Pendingin,3.0,3.7,Terlalu Matang
Mangga,Buah,Suhu Ruang,2.0,7.7,Mentah
Wortel,Sayur,Suhu Ruang,2.0,2.2,Busuk
Wortel,Sayur,Pendingin,1.0,1.9,Busuk
Anggur,Buah,Suhu Ruang,4.0,11.9,Mentah
Anggur,Buah,Pendingin,1.0,22.4,Mentah
Timun,Sayur,Pembeku,4.0,38.0,Segar
Mangga,Buah,Pendingin,3.0,17.6,Matang
Apel,Buah,Pendingin,2.0,7.7,Terlalu Matang
Kentang,Sayur,Pembeku,0.0,8.3,Busuk
Anggur,Buah,Suhu Ruang,0.0,3.5,Terlalu Matang
Anggur,Buah,Pembeku,2.0,8.6,Terlalu Matang
Anggur,Buah,Pendingin,6.0,18.9,Mentah
Cabe,Sayur,Pendingin,0.0,29.9,Segar
Jeruk,Buah,Pendingin,0.0,1.8,Busuk
Tomat,Sayur,Pendingin,1.0,3.0,Busuk
Mangga,Buah,Suhu Ruang,1.0,0.7,Busuk
Mangga,Buah,,6.0,,Mentah
Jeruk,Buah,Pembeku,1.0,1.1,Busuk
Jeruk,Buah,Pembeku,0.0,4.4,Busuk
Kentang,Sayur,Pendingin,1.0,0.6,Busuk
Jeruk,Buah,Pendingin,3.0,24.3,Matang
Jeruk,Buah,Suhu Ruang,0.0,0.1,Busuk
Kentang,Sayur,Pendingin,1.0,5.4,Busuk
Wortel,Sayur,Pembeku,0.0,5.2,Busuk
Jeruk,Buah,Pendingin,1.0,2.0,Busuk
Pisang,Buah,Pendingin,3.0,4.3,Terlalu Matang
Pisang,Buah,Pembeku,2.0,12.6,Terlalu Matang
Anggur,Buah,Pendingin,1.0,1.2,Busuk
Kentang,Sayur,Suhu Ruang,3.0,10.8,Segar
Cabe,Sayur,Pendingin,4.0,20.5,Segar
Tomat,Sayur,Pembeku,2048.0,806.0,Segar
Mangga,Buah,Suhu Ruang,,3.5,
Apel,Buah,Pembeku,1.0,0.2,Busuk
Anggur,Buah,Pendingin,0.0,15.4,Matang
,,Pembeku,1.0,3.8,
Apel,Buah,Suhu Ruang,4.0,8.3,Matang
Pisang,Buah,Pembeku,1.0,38.7,Mentah
,Buah,Suhu Ruang,0.0,,Busuk
Kentang,,Suhu Ruang,6.0,15.5,Segar
Kentang,Sayur,Pembeku,1.0,9.0,Busuk
Anggur,Buah,Pendingin,1.0,1.5,Busuk
,Buah,Pembeku,-99.0,400.5,
Apel,Buah,Pembeku,4.0,39.9,Matang
Jeruk,Buah,Pendingin,3.0,8.2,Terlalu Matang
Timun,Sayur,Suhu Ruang,4.0,11.4,Segar
Jeruk,Buah,Pendingin,2.0,9.2,Terlalu Matang
Apel,Buah,Pembeku,3.0,29.1,Matang
Pisang,Buah,Pembeku,0.0,10.4,Terlalu Matang
Jeruk,Buah,,2.0,,
Timun,Sayur,Pendingin,0.0,1.2,Busuk
Tomat,Sayur,Suhu Ruang,0.0,1.2,Busuk
Mangga,Buah,Pendingin,2.0,13.6,Mentah
Timun,Sayur,Pendingin,2.0,2.6,Busuk
Tomat,Sayur,Pendingin,0.0,2.6,Busuk
Timun,Sayur,Pendingin,,,
Apel,Buah,Pendingin,0.0,7.5,Terlalu Matang
Mangga,Buah,Pembeku,1.0,0.6,Busuk
Pisang,Buah,Pembeku,2.0,8.8,Terlalu Matang
Timun,Sayur,Pembeku,1.0,5.3,Busuk
Jeruk,Buah,Pembeku,1953.0,9220.5,Terlalu Matang
Wortel,Sayur,Pendingin,6235.0,3646.4,Segar
Wortel,Sayur,Pendingin,2.0,4.6,Busuk
Apel,Buah,Pendingin,0.0,9.0,Terlalu Matang
Jeruk,Buah,Pendingin,1.0,10.0,Terlalu Matang
Apel,Buah,Suhu Ruang,0.0,0.6,Busuk
Pisang,Buah,Suhu Ruang,4.0,7.3,Matang
Wortel,,Pembeku,,,Busuk
Pisang,Buah,Pembeku,0.0,1.8,Busuk
Apel,Buah,Pendingin,1.0,19.5,Mentah
Tomat,,,0.0,,Busuk
Jeruk,Buah,Pembeku,4.0,37.9,Matang
Tomat,Sayur,Pendingin,3.0,9.7,Segar
,Buah,Pendingin,,27.2,Mentah
Pisang,Buah,Pendingin,2.0,14.3,Mentah
Mangga,Buah,Pembeku,4.0,29.3,
Apel,Buah,Pendingin,0.0,1.4,Busuk
Apel,Buah,Pendingin,0.0,19.5,Mentah
,Buah,Pembeku,1.0,2.1,
Tomat,Sayur,Pembeku,4.0,29.9,Segar
Apel,Buah,Suhu Ruang,1.0,9.0,Mentah
Jeruk,Buah,Suhu Ruang,4.0,11.2,Matang
Anggur,,Pendingin,0.0,1.3,Busuk
Anggur,Buah,Pendingin,0.0,0.9,Busuk
Pisang,Buah,Pembeku,0.0,7.5,Terlalu Matang
Cabe,Sayur,Pembeku,0.0,2.0,Busuk
Timun,Sayur,Pendingin,,,Busuk
Wortel,Sayur,Pembeku,2.0,8.4,Busuk
Wortel,Sayur,Pendingin,0.0,2838.1,null
buah123,Sayur,Pendingin,5.0,30.6,Segar
Apel,Buah,Suhu Ruang,1.0,10.7,Matang
Pisang,Buah,Pendingin,1.0,13.0,Mentah
Jeruk,Buah,Pembeku,-99.0,1270.2,
Jeruk,Buah,Suhu Ruang,0.0,16.9,Mentah
Tomat,Sayur,Pendingin,2.0,17.9,Segar
Timun,Sayur,Suhu Ruang,1.0,8.3,Segar
Apel,Buah,Suhu Ruang,2.0,10.0,Matang
Kentang,Sayur,Suhu Ruang,1.0,10.8,Segar
Timun,Sayur,Pembeku,1.0,6.0,Busuk
Apel,Buah,Suhu Ruang,0.0,0.9,Busuk
Kentang,Sayur,Pendingin,1.0,5.0,Busuk
Mangga,Buah,Pembeku,0.0,0.4,Busuk
Anggur,Buah,Pendingin,0.0,6.3,Terlalu Matang
Timun,Sayur,Pembeku,1000.0,2850.9,Busuk
Anggur,Buah,Suhu Ruang,5.0,7.4,Mentah
Jeruk,Buah,Pendingin,-630.0,-892.6,Mentah
Wortel,,,2.0,0.7,Busuk
Tomat,Sayur,Pembeku,1.0,34.2,Segar
Wortel,Sayur,Suhu Ruang,0.0,2.3,Busuk
Apel,Buah,Suhu Ruang,1.0,1.0,Busuk
Jeruk,Buah,Suhu Ruang,1.0,13.4,Mentah
Kentang,Sayur,Pendingin,6.0,25.3,Segar
Wortel,Sayur,Suhu Ruang,0.0,1.4,Busuk
Wortel,Sayur,Pendingin,2.0,20.5,Segar
Anggur,Buah,Suhu Ruang,3.0,2.4,
Mangga,Buah,Pembeku,0.0,1.0,Busuk
Kentang,Sayur,Pendingin,3.0,39.1,Segar
Pisang,Buah,Pendingin,0.0,0.8,Busuk
Wortel,Sayur,Pembeku,6.0,31.6,Segar
Mangga,Buah,Pendingin,4.0,13.6,Matang
Kentang,Sayur,Suhu Ruang,1.0,1.0,Busuk
Mangga,Buah,Suhu Ruang,0.0,0.6,Busuk
Kentang,Sayur,Pendingin,2.0,5.4,Busuk
Tomat,Sayur,Pendingin,2.0,1.7,Busuk
Apel,Buah,Pendingin,2.0,19.5,Matang
Pisang,Buah,Suhu Ruang,-843.0,-544.5,Terlalu Matang
Anggur,Buah,Pembeku,1.0,0.2,Busuk
Apel,Buah,Pendingin,8809.0,4743.7,Busuk
Apel,Buah,Suhu Ruang,2.0,8.6,Matang
Kentang,Sayur,Pendingin,0.0,0.5,Busuk
Jeruk,Buah,Suhu Ruang,0.0,4.4,Terlalu Matang
Kentang,Sayur,Suhu Ruang,5.0,14.7,Segar
Timun,Sayur,Pembeku,5.0,22.0,Segar
Cabe,Sayur,Pendingin,2.0,2.3,Busuk
Pisang,,Pendingin,-99.0,2853.9,N/A
Mangga,Buah,Suhu Ruang,-99.0,627.9,
Pisang,Buah,Suhu Ruang,1.0,7.2,Matang
Cabe,Sayur,Pembeku,0.0,0.4,Busuk
,Buah,Pembeku,0.0,,
Pisang,Buah,Suhu Ruang,3.0,4.5,Matang
Mangga,Buah,Pendingin,0.0,6.5,Terlalu Matang
Tomat,Sayur,Suhu Ruang,-497.0,-771.1,Busuk
Timun,Sayur,Suhu Ruang,4.0,5.6,Segar
Wortel,Sayur,Pendingin,0.0,36.6,Segar
Jeruk,Buah,Pendingin,4.0,28.6,Mentah
Anggur,Buah,Pendingin,1.0,22.4,Mentah
Wortel,Sayur,Pendingin,1.0,1.0,Busuk
Tomat,Sayur,Suhu Ruang,2.0,6.0,Segar
Kentang,Sayur,Suhu Ruang,0.0,4120.1,Busuk
Cabe,Sayur,Suhu Ruang,1.0,1.5,Busuk
Jeruk,Buah,Pendingin,1.0,22.6,Matang
,Buah,Suhu Ruang,0.0,1924.2,N/A
Tomat,Sayur,Suhu Ruang,2.0,0.4,Busuk
Wortel,Sayur,Suhu Ruang,0.0,0.7,Busuk
Pisang,Buah,Pembeku,,33.1,Mentah
Cabe,Sayur,Pendingin,0.0,1.6,Busuk
Apel,Buah,Suhu Ruang,3.0,4.5,Terlalu Matang
Apel,Buah,Pembeku,4.0,41.9,Matang
Wortel,Sayur,Suhu Ruang,3.0,14.5,Segar
Anggur,Buah,Suhu Ruang,0.0,3.0,Terlalu Matang
Jeruk,Buah,Pendingin,0.0,0.2,Busuk
Timun,Sayur,Pendingin,2.0,3.6,Busuk
Cabe,Sayur,Pendingin,2.0,0.7,Busuk
Timun,Sayur,Pembeku,3.0,31.7,Segar
Cabe,Sayur,Pendingin,2.0,10.6,Segar
Wortel,Sayur,Pendingin,2.0,4.4,Busuk
Pisang,Buah,Pembeku,3.0,6.6,Terlalu Matang
Wortel,Sayur,Pendingin,5.0,13.6,Segar
Apel,Buah,Pembeku,5.0,35.6,Matang
Kentang,Sayur,Suhu Ruang,6.0,18.9,Segar
Kentang,Sayur,Lemari,3.0,18.6,Segar
,,Suhu Ruang,1.0,,Terlalu Matang
Mangga,Buah,Gudang,1.0,26.4,Matang
Pisang,Buah,Pendingin,2.0,13.6,Mentah
Cabe,Sayur,Pendingin,0.0,3.7,Busuk
Cabe,Sayur,Suhu Ruang,0.0,0.9,Busuk
Pisang,Buah,Suhu Ruang,1.0,0.7,Busuk
Anggur,Buah,Pendingin,4.0,12.9,Matang
Wortel,Sayur,Pembeku,0.0,0.7,Busuk
Tomat,Sayur,Pembeku,3.0,30.6,Segar
Mangga,Buah,Pembeku,2.0,24.2,Matang
Anggur,Buah,Pendingin,0.0,6.3,Terlalu Matang
Mangga,Buah,Pembeku,4.0,21.7,Matang
Tomat,Sayur,Pembeku,0.0,2.9,Busuk
Wortel,Sayur,Suhu Ruang,0.0,1.2,Busuk
Apel,Buah,Pembeku,1.0,15.3,Terlalu Matang
Tomat,Sayur,Pendingin,0.0,10.9,Segar
Cabe,Sayur,Pembeku,3.0,24.3,Segar
Pisang,Buah,Suhu Ruang,3.0,5.1,Matang
Kentang,Sayur,Suhu Ruang,2.0,15.4,Segar
Apel,Buah,Pendingin,3.0,16.1,Matang
Jeruk,Buah,Gudang,4.0,38.3,Mentah
Timun,Sayur,,0.0,2.7,
Timun,Sayur,Pembeku,1.0,2.3,Busuk
Jeruk,Buah,Pembeku,3.0,19.3,Expired
