food_name,food_category,packaging_type,storage_location,is_opened,days_to_expire,days_since_opened,sisa_hari,label
Biskuit Oreo,Produk Kering,Plastik,Outside,0,17.0,0.0,17.0,Fresh
Teh Kotak Hijau,Produk Minuman,Karton,Outside,1,220.0,2.0,-1.0,Expired
Sereal Coklat,Produk Kering,Karton,Outside,1,119.0,12.0,-2.0,Expired
Buah Cocktail,Produk Kaleng,Kaleng,Outside,0,197.0,0.0,197.0,Fresh
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,1,30.0,6.0,-3.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,-5.0,0.0,40.0,Fresh
Nugget Ikan,Unknown,Unknown,Freezer,0,177.0,0.0,177.0,Fresh
Nugget Tempe,Produk Protein,Plastik,Freezer,0,85.0,0.0,85.0,Fresh
Nugget Udang,Unknown,Plastik,Freezer,0,150.0,0.0,150.0,Fresh
Sosis Frozen,Unknown,Plastik,Freezer,1,73.0,5.0,-2.0,Expired
Sereal Coklat,Produk Kering,Karton,Outside,1,52.0,12.0,-5.0,Expired
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,38.0,0.0,38.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,0,128.0,0.0,128.0,Fresh
Leci Dalam Sirup,Produk Kaleng,Kaleng,Outside,1,500.0,7.0,-4.0,Expired
Nugget Sapi,Produk Protein,Plastik,Freezer,0,172.0,0.0,172.0,Fresh
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,36.0,8.0,-5.0,Expired
Sereal Oat,Produk Kering,Karton,Outside,0,24.0,0.0,24.0,Fresh
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,1,23.0,6.0,-1.0,Expired
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,1,16.0,7.0,-4.0,Expired
Keju Mozzarella,Produk Olahan Susu,Plastik,Chiller,0,23.0,0.0,23.0,Fresh
Susu Uht Full Cream,Produk Olahan Susu,Karton,Chiller,1,139.0,11.0,-4.0,Expired
Jus Sirsak,Produk Minuman,Karton,Chiller,0,22.0,0.0,22.0,Fresh
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,143.0,1.0,-1.0,Expired
Sosis Ikan,Produk Protein,Unknown,Chiller,1,34.0,7.0,-4.0,Expired
Sereal Muesli,Produk Kering,Karton,Outside,0,277.0,0.0,250.0,Fresh
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,0,191.0,0.0,191.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,0,11.0,0.0,11.0,Fresh
Biskuit Mentega,Produk Kering,Kaleng,Outside,0,267.0,0.0,250.0,Fresh
Nugget Udang,Produk Protein,Plastik,Freezer,1,135.0,6.0,-3.0,Expired
Keju Cream Cheese,Produk Olahan Susu,Karton,Chiller,1,29.0,3.0,11.0,Fresh
Susu Uht Coklat,Produk Olahan Susu,Karton,Chiller,0,140.0,0.0,140.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,0,118.0,0.0,-50.0,Fresh
Susu Uht Stroberi,Produk Olahan Susu,Karton,Chiller,1,216.0,3.0,-2.0,Expired
Teh Tarik,Produk Minuman,Karton,Chiller,0,186.0,0.0,186.0,Fresh
Susu Kedelai,Produk Olahan Susu,Karton,Chiller,1,20.0,1.0,4.0,Soon
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,179.0,0.0,179.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,0,102.0,0.0,102.0,Fresh
Sarden Tomat,Produk Kaleng,Kaleng,Unknown,0,500.0,0.0,250.0,Fresh
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,1,500.0,1.0,1.0,Soon
Susu Uht Coklat,Produk Olahan Susu,Karton,Chiller,1,177.0,6.0,-5.0,Expired
Mie Instan Soto,Produk Kering,Plastik,Outside,1,307.0,3.0,-3.0,Expired
Jus Anggur,Unknown,Botol Kaca,Chiller,1,151.0,10.0,-5.0,Expired
Susu Bubuk Skim,Produk Olahan Susu,Karton,Outside,1,500.0,12.0,3.0,Soon
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,0,6.0,0.0,6.0,Soon
Yogurt Mangga,Produk Olahan Susu,Plastik,Chiller,0,29.0,0.0,29.0,Fresh
Sereal Muesli,Produk Kering,Karton,Outside,0,230.0,0.0,230.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Ikan Tuna,Produk Kaleng,Kaleng,Outside,0,494.0,0.0,250.0,Fresh
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,1,8.0,2.0,-1.0,Expired
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,0,269.0,0.0,250.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,1,9.0,8.0,-3.0,Expired
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,0,12.0,0.0,12.0,Fresh
Sereal Coklat,Unknown,Karton,Outside,1,11.0,6.0,11.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,1,500.0,3.0,-2.0,Expired
Sosis Bebek,Produk Protein,Plastik,Chiller,1,45.0,5.0,2.0,Soon
Cola Original,Unknown,Kaleng,Unknown,1,59.0,3.0,-2.0,Expired
Sosis Frozen,Produk Protein,Plastik,Freezer,1,3.0,1.0,2.0,Soon
Susu Uht Vanila,Produk Olahan Susu,Karton,Chiller,1,139.0,3.0,-2.0,Expired
Yogurt Blueberry,Produk Olahan Susu,Plastik,Chiller,1,17.0,8.0,-5.0,Expired
Jus Mangga,Produk Minuman,Karton,Chiller,0,107.0,0.0,107.0,Fresh
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,174.0,5.0,-5.0,Expired
Cola Original,Produk Minuman,Kaleng,Outside,1,123.0,2.0,-1.0,Expired
Minuman Energi,Produk Minuman,Kaleng,Outside,1,148.0,1.0,0.0,Expired
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,0,48.0,0.0,48.0,Fresh
Minuman Isotonik,Prod. Minuman,Plastik,Outside,0,50.0,0.0,50.0,Fresh
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,10.0,5.0,-2.0,Expired
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,27.0,5.0,9.0,Fresh
Leci Dalam Sirup,Produk Kaleng,Kaleng,Outside,1,500.0,4.0,-1.0,Expired
Susu Uht Low Fat,Olahan Susu,Karton,Chiller,0,218.0,0.0,218.0,Fresh
Susu Bubuk Skim,Unknown,Karton,Outside,1,500.0,12.0,15.0,Fresh
Sereal Coklat,Produk Kering,Karton,Outside,0,7.0,0.0,7.0,Soon
Air Mineral,Produk Minuman,Plastik,Outside,1,500.0,5.0,-4.0,Expired
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,1,11.0,2.0,1.0,Soon
Jus Mangga,Produk Minuman,Karton,Chiller,0,127.0,0.0,127.0,Fresh
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,0,336.0,0.0,250.0,Fresh
Sosis Frankfurter,Produk Protein,Plastik,Chiller,1,47.0,9.0,-2.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,94.0,1.0,2.0,Soon
Teh Kotak Hijau,Produk Minuman,Karton,Outside,0,262.0,0.0,250.0,Fresh
Jus Sirsak,Produk Minuman,Karton,Chiller,1,167.0,7.0,-4.0,Expired
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,56.0,2.0,0.0,Expired
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,1,500.0,12.0,-2.0,Expired
Nugget Ikan,Produk Protein,Plastik,Freezer,0,66.0,0.0,66.0,Fresh
Sosis Bebek,Produk Protein,Plastik,Chiller,0,28.0,0.0,28.0,Fresh
Cola Original,Produk Minuman,Kaleng,Outside,1,258.0,1.0,0.0,Expired
Sarden Minyak Zaitun,Produk Kaleng,Unknown,Outside,0,290.0,0.0,250.0,Fresh
Jus Apel,Produk Minuman,Karton,Chiller,0,85.0,0.0,85.0,Fresh
Sereal Granola,Produk Kering,Karton,Outside,0,270.0,0.0,250.0,Fresh
Sosis Ayam,Protin,Plastik,Chiller,0,43.0,0.0,43.0,Fresh
Air Mineral,Produk Minuman,Plastik,Outside,0,488.0,0.0,250.0,Fresh
Ikan Makerel,Produk Kaleng,Kaleng,Outside,1,500.0,6.0,-4.0,Expired
Susu Bubuk Skim,Produk Olahan Susu,Kardus,Outside,0,317.0,0.0,250.0,Fresh
Sarden Cabai,Unknown,Kaleng,Outside,1,500.0,4.0,-2.0,Expired
Teh Kotak Jasmine,Unknown,Karton,Unknown,0,141.0,0.0,141.0,Fresh
Soda Jeruk,Unknown,Kaleng,Outside,0,133.0,0.0,133.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,0,141.0,0.0,141.0,Fresh
Sereal Cornflakes,Produk Kering,Karton,Outside,0,59.0,0.0,59.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,500.0,12.0,9.0,Fresh
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,0,275.0,0.0,250.0,Fresh
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Leci Dalam Sirup,Produk Kaleng,Kaleng,Outside,1,500.0,8.0,-5.0,Expired
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Chiller,1,500.0,5.0,-2.0,Expired
Nugget Ayam,Unknown,Unknown,Freezer,1,164.0,5.0,-2.0,Expired
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,1,4.0,1.0,4.0,Soon
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,0,20.0,0.0,20.0,Fresh
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,114.0,0.0,114.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,500.0,4.0,-2.0,Expired
Mie Instan Soto,Produk Kering,Plastik,Outside,1,59.0,3.0,-3.0,Expired
Ikan Makerel,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,283.0,2.0,1.0,Soon
Sosis Ikan,Produk Protein,Plastik,Chiller,0,4.0,0.0,4.0,Soon
Sarden Tomat,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Jus Mangga,Produk Minuman,Karton,Chiller,0,163.0,0.0,163.0,Fresh
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,323.0,3.0,11.0,Fresh
Keju Mozzarella,Produk Olahan Susu,Plastik,Chiller,1,37.0,4.0,3.0,Soon
Sereal Oat,Produk Kering,Karton,Outside,0,127.0,0.0,127.0,Fresh
Air Mineral,Unknown,Plastik,Outside,0,500.0,0.0,-50.0,Fresh
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,107.0,0.0,107.0,Fresh
Nugget Udang,Produk Protein,Plastik,Freezer,0,171.0,0.0,171.0,Fresh
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,40.0,0.0,40.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,0,119.0,0.0,119.0,Fresh
Jus Jambu,Produk Minuman,Karton,Chiller,0,61.0,0.0,61.0,Fresh
Keju Parmesan,Produk Olahan Susu,Unknown,Chiller,0,251.0,0.0,250.0,Fresh
Nugget Ikan,Produk Protein,Plastik,Freezer,1,41.0,1.0,2.0,Soon
Biskuit Wafer,Produk Kering,Plastik,Outside,1,14.0,2.0,3.0,Soon
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,161.0,2.0,1.0,Soon
Yogurt Plain,Produk Olahan Susu,Plastik,Chiller,1,16.0,7.0,-2.0,Expired
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,500.0,1.0,1.0,Soon
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,78.0,0.0,78.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,0,42.0,0.0,42.0,Fresh
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,0,16.0,0.0,16.0,Fresh
Sereal Muesli,Produk Kering,Unknown,Outside,1,57.0,7.0,23.0,Fresh
Susu Uht Low Fat,Produk Olahan Susu,Karton,Chiller,0,169.0,0.0,169.0,Fresh
Ikan Salmon,Produk Kaleng,Kaleng,Outside,1,500.0,3.0,-1.0,Expired
Leci Dalam Sirup,Produk Kaleng,Kaleng,Outside,1,120.0,4.0,-1.0,Expired
Soda Lemon,Produk Minuman,Kaleng,Outside,1,322.0,3.0,-2.0,Expired
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,1,7.0,4.0,-1.0,Expired
Mie Instan Soto,Produk Kering,Plastik,Outside,1,126.0,3.0,-3.0,Expired
Biskuit Oatmeal,Produk Kering,Plastik,Outside,1,98.0,7.0,0.0,Expired
Minuman Energi,Produk Minuman,Kaleng,Outside,0,239.0,0.0,239.0,Fresh
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,337.0,0.0,250.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,105.0,0.0,105.0,Fresh
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,0,25.0,0.0,25.0,Fresh
Nugget Ayam,Produk Protein,Plastik,Freezer,0,156.0,0.0,156.0,Fresh
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,0,104.0,0.0,104.0,Fresh
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,0,20.0,0.0,20.0,Fresh
Mie Instan Goreng,Produk Kering,Plastik,Outside,0,18.0,0.0,18.0,Fresh
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,0,10.0,0.0,10.0,Fresh
Sereal Granola,Produk Kering,Karton,Outside,0,46.0,0.0,46.0,Fresh
Mangga Kaleng,Kaleng,Unknown,Outside,1,424.0,3.0,0.0,Expired
Nugget Ikan,Produk Protein,Plastik,Freezer,0,39.0,0.0,39.0,Fresh
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,0,29.0,0.0,29.0,Fresh
Sosis Sapi,Unknown,Plastik,Chiller,1,22.0,6.0,-1.0,Expired
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,12.0,4.0,-1.0,Expired
Susu Bubuk Bayi,Produk Olahan Susu,Karton,Outside,1,297.0,8.0,22.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,0,62.0,2.0,19.0,Fresh
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Outside,1,195.0,8.0,22.0,Fresh
Sosis Frozen,Produk Protein,Plastik,Freezer,1,161.0,3.0,0.0,Expired
Susu Uht Full Cream,Produk Olahan Susu,Karton,Chiller,0,124.0,0.0,124.0,Fresh
Susu Uht Coklat,Produk Olahan Susu,Karton,Chiller,1,224.0,5.0,-4.0,Expired
Nugget Udang,Unknown,Plastik,frozen,0,1.0,0.0,1.0,Soon
Nugget Ikan,Produk Protein,Plastik,frozen,0,81.0,0.0,81.0,Fresh
Yogurt Kefir,Produk Olahan Susu,Botol Kaca,Chiller,0,5.0,0.0,5.0,Soon
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,13.0,6.0,-3.0,Expired
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,0,500.0,0.0,250.0,Fresh
Mangga Kaleng,Kaleng,Kaleng,Outside,0,187.0,0.0,187.0,Fresh
Nugget Ikan,Produk Protein,Plastik,Freezer,0,49.0,0.0,49.0,Fresh
Sereal Oat,Produk Kering,Karton,Outside,1,289.0,12.0,16.0,Fresh
Sosis Ikan,Produk Protein,Plastik,Chiller,0,25.0,0.0,25.0,Fresh
Persik Kaleng,Produk Kaleng,Kaleng,Outside,1,450.0,7.0,-4.0,Expired
Keju Mozzarella,Produk Olahan Susu,Plastik,Unknown,0,26.0,8.0,-1.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Outside,1,46.0,5.0,2.0,Soon
Susu Pasteurisasi,Produk Olahan Susu,Plastik,Chiller,1,13.0,7.0,-4.0,Expired
Biskuit Crackers,Produk Kering,Plastik,Outside,1,116.0,10.0,-3.0,Expired
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,196.0,11.0,3.0,Soon
Biskuit Digestive,Produk Kering,Plastik,Outside,0,63.0,0.0,63.0,Fresh
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,22.0,10.0,4.0,Soon
Sosis Ikan,Produk Protein,Plastik,Unknown,0,17.0,0.0,17.0,Fresh
Nugget Udang,Produk Protein,Plastik,Unknown,1,24.0,2.0,1.0,Soon
Persik Kaleng,Produk Kaleng,Kaleng,Outside,0,147.0,0.0,147.0,Fresh
Persik Kaleng,Unknown,Kaleng,Outside,1,488.0,8.0,-5.0,Expired
Jus Anggur,Produk Minuman,Botol Kaca,Chiller,0,125.0,0.0,125.0,Fresh
Mie Instan Soto,Produk Kering,Plastik,Outside,0,338.0,0.0,250.0,Fresh
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,0,222.0,0.0,222.0,Fresh
Nugget Sapi,Unknown,Plastik,Freezer,0,69.0,0.0,69.0,Fresh
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,0,11.0,0.0,11.0,Fresh
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,0,1.0,0.0,1.0,Soon
Cola Original,Produk Minuman,Kaleng,Outside,1,48.0,3.0,-2.0,Expired
Sosis Frankfurter,Produk Protein,Plastik,Dingin,1,72.0,10.0,-3.0,Expired
Sosis Frozen,Produk Protein,Plastik,Freezer,1,80.0,8.0,-5.0,Expired
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,0,220.0,0.0,220.0,Fresh
Sereal Oat,Produk Kering,Karton,Outside,1,60.0,12.0,-2.0,Expired
Rambutan Kaleng,Produk Kaleng,Kaleng,Outside,1,227.0,7.0,-4.0,Expired
Persik Kaleng,Produk Kaleng,Kaleng,Outside,1,318.0,2.0,1.0,hampir
Mangga Kaleng,Produk Kaleng,Kaleng,Outside,1,239.0,4.0,-1.0,Expired
Ikan Tuna,Produk Kaleng,Kaleng,Unknown,1,60.0,5.0,-3.0,Expired
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,1,500.0,2.0,1.0,Soon
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,0,21.0,0.0,21.0,Fresh
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,0,309.0,0.0,250.0,Fresh
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Chiller,0,156.0,0.0,156.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,258.0,0.0,250.0,Fresh
Nugget Tempe,Produk Protein,Plastik,Freezer,1,117.0,6.0,-3.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Sosis Bebek,Produk Protein,Plastik,Chiller,0,87.0,0.0,87.0,Fresh
Susu Uht Full Cream,Produk Olahan Susu,Karton,Chiller,0,44.0,0.0,44.0,Fresh
Biskuit Crackers,Produk Kering,Plastik,Outside,1,82.0,3.0,4.0,Soon
Susu Kental Manis Coklat,Produk Olahan Susu,Kaleng,Chiller,1,45.0,12.0,1.0,Soon
Biskuit Oreo,Produk Kering,Plastik,Outside,1,65.0,6.0,1.0,Soon
Keju Parmesan,Produk Olahan Susu,Plastik,Chiller,1,288.0,12.0,-3.0,Expired
Sarden Cabai,Produk Kaleng,Kaleng,Outside,0,500.0,0.0,250.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,0,101.0,0.0,101.0,Fresh
Sarden Cabai,Produk Kaleng,Kaleng,Outside,1,50.0,2.0,0.0,Expired
Nugget Sapi,Produk Protein,Plastik,Freezer,0,140.0,0.0,140.0,Fresh
Jus Sirsak,Produk Minuman,Karton,Chiller,0,77.0,0.0,77.0,Fresh
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,1,424.0,4.0,26.0,Fresh
Soda Jeruk,Produk Minuman,Kaleng,Outside,0,337.0,0.0,250.0,Fresh
Sosis Ayam,Produk Protein,Plastik,Chiller,1,11.0,9.0,-4.0,Expired
Air Soda,Produk Minuman,Plastik,Outside,0,356.0,0.0,250.0,Fresh
Jus Jambu,Produk Minuman,Karton,Chiller,0,106.0,0.0,106.0,Fresh
Teh Tarik,Produk Minuman,Karton,Chiller,0,2.0,0.0,2.0,Soon
Minuman Isotonik,Produk Minuman,Unknown,Outside,1,302.0,5.0,-4.0,Expired
Nugget Ayam,Produk Protein,Plastik,Freezer,0,176.0,0.0,176.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,0,80.0,0.0,80.0,Fresh
Cola Zero Sugar,Produk Minuman,Kaleng,Outside,1,9.0,3.0,-2.0,Expired
Nugget Tempe,Produk Protein,Plastik,Freezer,0,10.0,0.0,10.0,Fresh
Biskuit Mentega,Produk Kering,Kaleng,Outside,1,239.0,12.0,-3.0,Expired
Jagung Manis Kaleng,Produk Kaleng,Kaleng,Chiller,1,500.0,4.0,-1.0,Expired
Sosis Sapi,Produk Protein,Plastik,Chiller,0,55.0,0.0,55.0,Fresh
Biskuit Oreo,Produk Kering,Plastik,Outside,1,41.0,1.0,6.0,Soon
Susu Uht Coklat,Produk Olahan Susu,Karton,Chiller,1,5.0,1.0,0.0,Expired
Mie Instan Ayam,Produk Kering,Plastik,Outside,1,290.0,4.0,-4.0,Expired
Jus Jambu,Produk Minuman,Karton,Chiller,0,163.0,0.0,163.0,Fresh
Kornet Sapi,Produk Kaleng,Unknown,Outside,0,500.0,0.0,250.0,Fresh
Teh Botol,Produk Minuman,Unknown,Outside,0,224.0,0.0,224.0,Fresh
Susu Bubuk Full Cream,Produk Olahan Susu,Karton,Outside,0,500.0,0.0,250.0,Fresh
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,1,471.0,1.0,2.0,Soon
Susu Uht Coklat,Produk Olahan Susu,Karton,Chiller,1,259.0,4.0,-3.0,Expired
Jus Anggur,Produk Minuman,Botol Kaca,Chiller,0,88.0,0.0,88.0,Fresh
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,1,264.0,6.0,-5.0,Expired
Teh Kotak Jasmine,Produk Minuman,Karton,Outside,1,283.0,3.0,-2.0,Expired
Minuman Energi,Unknown,Kaleng,Outside,0,180.0,0.0,180.0,Fresh
Sosis Frankfurter,Produk Protein,Plastik,Chiller,0,8.0,0.0,8.0,Fresh
Kornet Ayam,Produk Kaleng,Kaleng,Outside,1,64.0,3.0,0.0,Expired
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,70.0,5.0,-2.0,Expired
Biskuit Marie,Produk Kering,Plastik,Outside,0,164.0,0.0,164.0,Fresh
Soda Lemon,Produk Minuman,Kaleng,Outside,0,14.0,0.0,14.0,Fresh
Sereal Oat,Produk Kering,Karton,Unknown,0,254.0,0.0,250.0,Fresh
Jus Apel,Produk Minuman,Karton,Dingin,1,71.0,4.0,1.0,Soon
Jus Anggur,Unknown,Botol Kaca,Chiller,0,167.0,0.0,250.0,Fresh
Biskuit Digestive,Produk Kering,Plastik,Outside,1,25.0,10.0,4.0,Soon
Biskuit Sandwich,Produk Kering,Plastik,Outside,0,56.0,0.0,56.0,Fresh
Sosis Sapi,Produk Protein,Plastik,Chiller,1,14.0,7.0,-2.0,Expired
Yogurt Greek,Produk Olahan Susu,Plastik,Chiller,1,7.0,3.0,2.0,Soon
Biskuit Marie,Produk Kering,Plastik,Outside,1,46.0,11.0,-4.0,Expired
Nanas Kaleng,Produk Kaleng,Kaleng,Outside,1,497.0,3.0,0.0,Expired
Minuman Energi,Produk Minuman,Kaleng,Outside,0,105.0,0.0,105.0,Fresh
Yogurt Stroberi,Produk Olahan Susu,Plastik,Chiller,1,16.0,8.0,-5.0,Expired
Sereal Muesli,Produk Kering,Unknown,Outside,0,272.0,0.0,250.0,Fresh
Nugget Sayuran,Produk Protein,Plastik,Freezer,1,14.0,2.0,1.0,Soon
Jus Apel,Unknown,Karton,Chiller,0,59.0,0.0,59.0,Fresh
Susu Uht Full Cream,Produk Olahan Susu,Karton,Chiller,1,50.0,6.0,1.0,Soon
Yogurt Greek,Produk Olahan Susu,Plastik,Unknown,0,4.0,0.0,4.0,Soon
Jus Mangga,Produk Minuman,Karton,Chiller,0,65.0,0.0,65.0,Fresh
Air Soda,Produk Minuman,Plastik,Outside,1,139.0,6.0,-5.0,Expired
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Chiller,0,165.0,0.0,165.0,Fresh
Cola Zero Sugar,Produk Minuman,Unknown,Outside,0,357.0,0.0,250.0,Fresh
Cola Zero Sugar,Unknown,Kaleng,Outside,1,6.0,5.0,-4.0,Expired
Keju Cheddar,Produk Olahan Susu,Plastik,Chiller,1,15.0,1.0,13.0,Fresh
Kornet Sapi,Produk Kaleng,Kaleng,Outside,1,444.0,1.0,2.0,Soon
Susu Uht Low Fat,Produk Olahan Susu,Karton,Chiller,0,118.0,0.0,118.0,Fresh
Jus Jeruk,Produk Minuman,Karton,Chiller,0,120.0,0.0,120.0,Fresh
Nugget Tempe,Produk Protein,Plastik,Freezer,0,69.0,8.0,-5.0,Expired
Sereal Muesli,Produk Kering,Karton,Outside,0,191.0,0.0,191.0,Fresh
Keju Edam,Produk Olahan Susu,Plastik,Chiller,1,99.0,5.0,16.0,Fresh
Yogurt Minum Probiotik,Produk Olahan Susu,Botol Kaca,Chiller,0,18.0,0.0,18.0,Fresh
