nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label,cara_simpan
Lemon,Buah Sitrus,Pendingin,14,7,Segar,Gunakan wadah tertutup saat menyimpan Lemon di rak kulkas.
Tomat,Buah Tropis,Pembeku,1,13,Segar,Pastikan Tomat sudah bersih dan kering sebelum dibekukan di freezer.
Cabai Merah,Cabai & Paprika,Pembeku,17,-3,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Cabai Merah tetap awet.
Lemon,Buah Sitrus,Pendingin,11,10,Segar,Bungkus Lemon dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Cabai Rawit,Cabai & Paprika,Pendingin,9,1,Segera,Gunakan wadah tertutup saat menyimpan Cabai Rawit di rak kulkas.
Tomat,Buah Tropis,Pembeku,56,4,Segar,Simpan Tomat dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Nanas,Buah Tropis,Pendingin,9,-2,Kadaluwarsa,Simpan Nanas di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Jahe,Sayuran Akar,Pembeku,60,8,Segar,Simpan Jahe dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Mangga,Buah Tropis,Suhu Ruang,2,3,Segera,Pastikan Mangga berada di area kering agar tidak cepat lembap dan busuk.
Mangga,Buah Tropis,Pendingin,5,2,Segera,Bungkus Mangga dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Anggur,Buah Iklim Sedang,Pembeku,3,27,Segar,Pastikan Anggur sudah bersih dan kering sebelum dibekukan di freezer.
Ubi Jalar,Sayuran Akar,Pendingin,35,-5,Kadaluwarsa,Bungkus Ubi Jalar dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Anggur,Buah Iklim Sedang,Suhu Ruang,0,3,Segera,Letakkan Anggur di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kangkung,Sayuran Hijau,Pendingin,1,3,Segera,Bungkus Kangkung dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
RaspBuah Beri,Buah Beri,Pendingin,5,0,Kadaluwarsa,Bungkus RaspBuah Beri dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Singkong,Sayuran Akar,Suhu Ruang,2,1,Segera,Simpan Singkong di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
RaspBuah Beri,Buah Beri,Suhu Ruang,2,0,Kadaluwarsa,Pastikan RaspBuah Beri berada di area kering agar tidak cepat lembap dan busuk.
Pear,Sayuran Akar,Suhu Ruang,0,5,Segar,Simpan Pear di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Brokoli,Sayuran Hijau,Pembeku,10,20,Segar,Pastikan Brokoli sudah bersih dan kering sebelum dibekukan di freezer.
Kol,Sayuran Hijau,Suhu Ruang,3,0,Kadaluwarsa,Simpan Kol di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kiwi,Buah Iklim Sedang,Suhu Ruang,5,0,Kadaluwarsa,Letakkan Kiwi di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
RaspBuah Beri,Buah Beri,Suhu Ruang,1,1,Segera,Pastikan RaspBuah Beri berada di area kering agar tidak cepat lembap dan busuk.
Seledri,Sayuran Hijau,Suhu Ruang,0,2,Segera,Pastikan Seledri berada di area kering agar tidak cepat lembap dan busuk.
Jeruk Nipis,Buah Sitrus,Suhu Ruang,1,-20,Segar,Simpan Jeruk Nipis di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Kiwi,Buah Iklim Sedang,Suhu Ruang,4,1,Segera,Simpan Kiwi di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Pisang,Buah Tropis,Pembeku,3,27,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pisang tetap awet.
Jahe,Sayuran Akar,Suhu Ruang,10,4,Segar,Simpan Jahe di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Kiwi,Buah Iklim Sedang,Suhu Ruang,2,3,Segera,Simpan Kiwi di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Lemon,Buah Sitrus,Pembeku,41,19,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Lemon tetap awet.
Sawi,Sayuran Hijau,Suhu Ruang,1,0,Kadaluwarsa,Simpan Sawi di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bawang Putih,Sayuran Akar,Suhu Ruang,11,34,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Jeruk,Buah Sitrus,Pembeku,44,16,Segar,Simpan Jeruk dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Bayam,Sayuran Hijau,Pendingin,1,4,Segar,Bungkus Bayam dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Lemon,Buah Sitrus,Pembeku,58,2,Segera,Pastikan Lemon sudah bersih dan kering sebelum dibekukan di freezer.
Tomat,Buah Tropis,Pendingin,17,-3,Kadaluwarsa,Bungkus Tomat dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kiwi,Buah Iklim Sedang,Pendingin,8,6,Segar,Simpan Kiwi di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Ubi Jalar,Sayuran Akar,Pendingin,25,5,Segar,Simpan Ubi Jalar di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bawang Putih,Sayuran Akar,Suhu Ruang,6,37,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Lemon,Buah Sitrus,Suhu Ruang,,4,Segar,Letakkan Lemon di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Tomat,Buah Tropis,Suhu Ruang,1,4,Segar,Pastikan Tomat berada di area kering agar tidak cepat lembap dan busuk.
Seledri,Sayuran Hijau,Pembeku,16,5,Segar,Simpan Seledri dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Alpukat,Buah Tropis,Pembeku,3,27,Segar,Simpan Alpukat dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Nanas,Buah Tropis,Pembeku,0,30,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Nanas tetap awet.
Bawang Putih,Sayuran Akar,Pembeku,60,37,Segar,Pastikan Bawang Putih sudah bersih dan kering sebelum dibekukan di freezer.
Mangga,Buah Tropis,Pembeku,8,22,Segar,Pastikan Mangga sudah bersih dan kering sebelum dibekukan di freezer.
Lemon,Buah Sitrus,Pembeku,0,7,Segar,Simpan Lemon dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pisang,Buah Tropis,Suhu Ruang,0,3,Segera,Letakkan Pisang di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kentang,Sayuran Akar,Pendingin,2,28,Segar,Bungkus Kentang dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kangkung,Sayuran Hijau,Pembeku,2,28,Segar,Pastikan Kangkung sudah bersih dan kering sebelum dibekukan di freezer.
Anggur,Buah Iklim Sedang,Pembeku,23,7,Segar,Pastikan Anggur sudah bersih dan kering sebelum dibekukan di freezer.
Bawang Merah,Sayuran Akar,Pembeku,60,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Bawang Merah tetap awet.
Jeruk,Buah Sitrus,Pembeku,,9,Segar,Pastikan Jeruk sudah bersih dan kering sebelum dibekukan di freezer.
Singkong,Sayuran Akar,Pembeku,9,21,Segar,Simpan Singkong dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
RaspBuah Beri,Buah Beri,Pembeku,22,-1,Kadaluwarsa,Simpan RaspBuah Beri dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Stroberi,Buah Beri,Suhu Ruang,2,0,Kadaluwarsa,Simpan Stroberi di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Apel,Buah Iklim Sedang,Pendingin,17,4,Segar,Simpan Apel di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Singkong,Sayuran Akar,Suhu Ruang,1,2,Segera,Simpan Singkong di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Singkong,Sayuran Akar,Pembeku,28,2,Segera,Simpan Singkong dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Stroberi,Buah Beri,Pendingin,2,3,Segera,Gunakan wadah tertutup saat menyimpan Stroberi di rak kulkas.
Bawang Putih,Sayuran Akar,Suhu Ruang,45,0,Kadaluwarsa,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Paprika,Cabai & Paprika,Suhu Ruang,6,-1,Kadaluwarsa,Simpan Paprika di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Bayam,Sayuran Hijau,Suhu Ruang,0,1,Segera,Pastikan Bayam berada di area kering agar tidak cepat lembap dan busuk.
Stroberi,Buah Beri,Pembeku,0,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Stroberi tetap awet.
Singkong,Sayuran Akar,Pendingin,8,-1,Kadaluwarsa,Bungkus Singkong dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bawang Merah,Sayuran Akar,Suhu Ruang,19,11,Segar,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Ubi Jalar,Sayuran Akar,Pembeku,5,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Ubi Jalar tetap awet.
Pear,Sayuran Akar,Suhu Ruang,6,-1,Kadaluwarsa,Simpan Pear di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
BlueBuah Beri,Buah Beri,Suhu Ruang,1,1,Segera,Simpan BlueBuah Beri di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Pepaya,Buah Tropis,Pendingin,2,5,Segar,Gunakan wadah tertutup saat menyimpan Pepaya di rak kulkas.
Pear,Buah Iklim Sedang,Pendingin,3,11,Segar,Simpan Pear di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Semangka,Buah Tropis,Suhu Ruang,5,2,Segera,Letakkan Semangka di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Seledri,Sayuran Hijau,Pendingin,9,-2,Kadaluwarsa,Bungkus Seledri dengan tisu dapur lembap dalam wadah tertutup agar tidak cepat layu.
Apel,Buah Iklim Sedang,Pembeku,60,4,Segar,Simpan Apel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Pepaya,Buah Tropis,Pembeku,17,13,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Pepaya tetap awet.
Cabai Merah,Sayuran Akar,Pendingin,0,14,Segar,Simpan Cabai Merah di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
BlueBuah Beri,Buah Beri,Pendingin,5,2,Segera,Bungkus BlueBuah Beri dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kunyit,Sayuran Akar,Pembeku,41,37,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kunyit tetap awet.
Pear,Buah Iklim Sedang,Suhu Ruang,0,5,Segar,Simpan Pear di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Ubi Jalar,Sayuran Akar,Suhu Ruang,10,4,Segar,Simpan Ubi Jalar di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pisang,Buah Tropis,Pembeku,8,22,Segar,Simpan Pisang dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kunyit,Sayuran Akar,Pendingin,21,9,Segar,Simpan Kunyit di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Alpukat,Buah Tropis,Pendingin,6,1,Segera,Gunakan wadah tertutup saat menyimpan Alpukat di rak kulkas.
Apel,Buah Iklim Sedang,Suhu Ruang,1,-20,Segar,Pastikan Apel berada di area kering agar tidak cepat lembap dan busuk.
Bawang Merah,Sayuran Akar,Pendingin,2,37,Segar,Gunakan wadah tertutup saat menyimpan Bawang Merah di rak kulkas.
Jahe,Sayuran Akar,Suhu Ruang,13,1,Segera,Simpan Jahe di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bawang Putih,Sayuran Akar,Suhu Ruang,27,18,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Melon,Buah Tropis,Pendingin,3,4,Segar,Bungkus Melon dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bayam,Sayuran Hijau,Pembeku,20,10,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Bayam tetap awet.
Semangka,Buah Tropis,Suhu Ruang,7,0,Kadaluwarsa,Simpan Semangka di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Alpukat,Buah Tropis,Suhu Ruang,2,1,Segera,Simpan Alpukat di tempat sejuk yang terhindar dari paparan sinar matahari langsung.
Selada,Sayuran Hijau,Pembeku,5,25,Segar,Pastikan Selada sudah bersih dan kering sebelum dibekukan di freezer.
BlueBuah Beri,Buah Beri,Suhu Ruang,0,2,Segera,Pastikan BlueBuah Beri berada di area kering agar tidak cepat lembap dan busuk.
RaspBuah Beri,Buah Beri,Pembeku,19,37,Segera,Pastikan RaspBuah Beri sudah bersih dan kering sebelum dibekukan di freezer.
Jeruk,Buah Sitrus,Pembeku,9,-2,Kadaluwarsa,Gunakan wadah khusus freezer untuk menjaga nutrisi Jeruk tetap awet.
Jeruk Bali,Buah Sitrus,Pembeku,15,37,Segar,Pastikan Jeruk Bali sudah bersih dan kering sebelum dibekukan di freezer.
Pear,Buah Iklim Sedang,Pendingin,,8,Segar,Gunakan wadah tertutup saat menyimpan Pear di rak kulkas.
Lemon,Buah Sitrus,Suhu Ruang,3,4,Segar,Letakkan Lemon di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Kiwi,Buah Iklim Sedang,Pembeku,28,32,Segar,Gunakan wadah khusus freezer untuk menjaga nutrisi Kiwi tetap awet.
Selada,Sayuran Hijau,Pembeku,,15,Segar,Simpan Selada dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Wortel,Sayuran Akar,Pembeku,58,32,Segar,Simpan Wortel dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Bali,Buah Sitrus,Pembeku,15,15,Segar,Simpan Jeruk Bali dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk Bali,Buah Sitrus,Pembeku,60,-5,Kadaluwarsa,Pastikan Jeruk Bali sudah bersih dan kering sebelum dibekukan di freezer.
Brokoli,Sayuran Hijau,Suhu Ruang,1,1,Segera,Pastikan Brokoli berada di area kering agar tidak cepat lembap dan busuk.
Brokoli,Sayuran Hijau,Pembeku,35,-5,Kadaluwarsa,Simpan Brokoli dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kentang,Sayuran Akar,Pendingin,20,10,Segar,Bungkus Kentang dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Kol,Sayuran Hijau,Pembeku,30,0,Kadaluwarsa,Simpan Kol dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Kunyit,Sayuran Akar,Pendingin,38,-8,Kadaluwarsa,Bungkus Kunyit dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Bawang Putih,Sayuran Akar,Suhu Ruang,15,30,Segar,Simpan Bawang Putih di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Bawang Merah,Sayuran Akar,Suhu Ruang,16,14,Segar,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Pisang,Sayuran Akar,Pembeku,22,8,Segar,Simpan Pisang dalam kantong ziplock kedap udara untuk penggunaan jangka panjang.
Jeruk,Buah Sitrus,Suhu Ruang,7,0,Kadaluwarsa,Letakkan Jeruk di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Alpukat,Buah Tropis,Pendingin,4,3,Segera,Bungkus Alpukat dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
Sawi,Sayuran Akar,Suhu Ruang,0,1,Segera,Simpan Sawi di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
BlueBuah Beri,Buah Beri,Suhu Ruang,2,0,Kadaluwarsa,Letakkan BlueBuah Beri di suhu ruangan dalam wadah terbuka agar sirkulasi udara lancar.
Jeruk Bali,Buah Sitrus,Pendingin,14,16,Segar,Simpan Jeruk Bali di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Bawang Merah,Sayuran Akar,Suhu Ruang,8,22,Segar,Simpan Bawang Merah di tempat gelap dan kering untuk mencegah tumbuhnya tunas.
Alpukat,Buah Tropis,Pendingin,1,6,Segar,Simpan Alpukat di dalam laci khusus sayuran agar kesegarannya terjaga optimal.
Ubi Jalar,Sayuran Akar,Pendingin,18,12,Segar,Bungkus Ubi Jalar dengan tisu dapur lalu masukkan ke dalam wadah kulkas.
