nama_item,jenis_item,lokasi_penyimpanan,hari_sejak_pembelian,sisa_hari,label
Tomat,Sayur,Suhu Ruang,2,1,Busuk
Wortel,Sayur,Pembeku,2,0,Busuk
Anggur,Buah,Suhu Ruang,3,3,Terlalu Matang
Anggur,Buah,Suhu Ruang,1,0,Busuk
Jeruk,Buah,Pendingin,1,1,Busuk
Tomat,Sayur,Pendingin,2,15,Segar
Anggur,Buah,Suhu Ruang,1,0,Busuk
Apel,Buah,Pembeku,3,12,Terlalu Matang
Jeruk,Buah,Pembeku,0,3,Busuk
Apel,Buah,Pendingin,5,20,Mentah
Kentang,Sayur,Suhu Ruang,1,8,Segar
Wortel,Sayur,Pendingin,1,0,Busuk
Wortel,Sayur,Pendingin,1,4,Busuk
Timun,Sayur,Pendingin,0,2,Busuk
Cabe,Sayur,Pendingin,4,22,Segar
Anggur,Buah,Pendingin,2,10,Matang
Anggur,Buah,Pendingin,1,14,Matang
Kentang,Sayur,Suhu Ruang,1,1,Busuk
Kentang,Sayur,Pembeku,2,2,Busuk
Wortel,Sayur,Pembeku,2,35,Segar
Timun,Sayur,Suhu Ruang,1,7,Segar
Tomat,Sayur,Suhu Ruang,0,1,Busuk
Anggur,Buah,Suhu Ruang,0,0,Busuk
Timun,Sayur,Pendingin,5,12,Segar
Mangga,Buah,Pendingin,3,5,Terlalu Matang
Kentang,Sayur,Pendingin,0,0,Busuk
Cabe,Sayur,Pembeku,1,30,Segar
Pisang,Buah,Pendingin,2,14,Matang
Timun,Sayur,Pembeku,6,26,Segar
Apel,Buah,Suhu Ruang,3,3,Terlalu Matang
Apel,Buah,Pembeku,3,36,Matang
Apel,Buah,Pendingin,4,20,Matang
Mangga,Buah,Pendingin,3,18,Matang
Apel,Buah,Suhu Ruang,3,6,Matang
Anggur,Buah,Pembeku,0,1,Busuk
Mangga,Buah,Pembeku,1,25,Matang
Tomat,Sayur,Suhu Ruang,5,5,Segar
Pisang,Buah,Pembeku,1,2,Busuk
Tomat,Sayur,Suhu Ruang,6,10,Segar
Mangga,Buah,Pendingin,1,0,Busuk
Anggur,Buah,Suhu Ruang,0,0,Busuk
Tomat,Sayur,Pembeku,1,0,Busuk
Apel,Buah,Pembeku,3,13,Terlalu Matang
Pisang,Buah,Pendingin,3,12,Matang
Apel,Buah,Pendingin,0,1,Busuk
Tomat,Sayur,Suhu Ruang,0,6,Segar
Timun,Sayur,Pembeku,2,3,Busuk
Kentang,Sayur,Suhu Ruang,0,1,Busuk
Cabe,Sayur,Suhu Ruang,3,7,Segar
Pisang,Buah,Pembeku,1,29,Mentah
Tomat,Sayur,Pembeku,1,3,Busuk
Jeruk,Buah,Pembeku,1,0,Busuk
Jeruk,Buah,Pembeku,0,3,Busuk
Anggur,Buah,Pendingin,3,15,Matang
Apel,Buah,Suhu Ruang,5,8,Matang
Tomat,Sayur,Pendingin,1,1,Busuk
Jeruk,Buah,Pendingin,0,10,Terlalu Matang
Mangga,Buah,Pendingin,5,22,Mentah
Kentang,Sayur,Pendingin,4,30,Segar
Cabe,Sayur,Suhu Ruang,1,5,Segar
Apel,Buah,Suhu Ruang,3,3,Terlalu Matang
Mangga,Buah,Suhu Ruang,5,11,Mentah
Timun,Sayur,Pembeku,4,27,Segar
Pisang,Buah,Pendingin,1,4,Terlalu Matang
Anggur,Buah,Pendingin,1,1,Busuk
Tomat,Sayur,Pembeku,2,2,Busuk
Anggur,Buah,Suhu Ruang,1,0,Busuk
Tomat,Sayur,Suhu Ruang,2,1,Busuk
Wortel,Sayur,Pendingin,1,3,Busuk
Jeruk,Buah,Pendingin,4,22,Mentah
Jeruk,Buah,Pendingin,0,10,Terlalu Matang
Apel,Buah,Suhu Ruang,2,9,Matang
Anggur,Buah,Pendingin,0,7,Terlalu Matang
Mangga,Buah,Suhu Ruang,2,3,Terlalu Matang
Kentang,Sayur,Pembeku,2,8,Busuk
Pisang,Buah,Pendingin,1,1,Busuk
Jeruk,Buah,Pembeku,1,16,Terlalu Matang
Apel,Buah,Suhu Ruang,1,11,Matang
Kentang,Sayur,Pendingin,0,3,Busuk
Pisang,Buah,Pendingin,0,0,Busuk
Tomat,Sayur,Suhu Ruang,6,6,Segar
Timun,Sayur,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Suhu Ruang,2,2,Busuk
Apel,Buah,Pendingin,0,0,Busuk
Timun,Sayur,Pendingin,5,25,Segar
Cabe,Sayur,Pendingin,1,0,Busuk
Kentang,Sayur,Suhu Ruang,0,0,Busuk
Mangga,Buah,Pembeku,0,14,Terlalu Matang
Apel,Buah,Suhu Ruang,1,4,Terlalu Matang
Mangga,Buah,Pembeku,0,2,Busuk
Pisang,Buah,Pendingin,1,0,Busuk
Anggur,Buah,Suhu Ruang,0,7,Matang
Tomat,Sayur,Pembeku,2,6,Busuk
Cabe,Sayur,Suhu Ruang,1,7,Segar
Timun,Sayur,Suhu Ruang,2,0,Busuk
Jeruk,Buah,Pendingin,3,21,Matang
Timun,Sayur,Pendingin,1,1,Busuk
Kentang,Sayur,Pendingin,3,28,Segar
Jeruk,Buah,Pembeku,1,3,Busuk
Apel,Buah,Suhu Ruang,1,3,Terlalu Matang
Pisang,Buah,Pendingin,0,5,Terlalu Matang
Apel,Buah,Pembeku,1,40,Mentah
Pisang,Buah,Suhu Ruang,1,0,Busuk
Mangga,Buah,Suhu Ruang,0,2,Terlalu Matang
Pisang,Buah,Pembeku,0,7,Terlalu Matang
Mangga,Buah,Pendingin,2,5,Terlalu Matang
Jeruk,Buah,Pendingin,3,7,Terlalu Matang
Kentang,Sayur,Suhu Ruang,2,2,Busuk
Wortel,Sayur,Suhu Ruang,2,8,Segar
Jeruk,Buah,Pendingin,0,0,Busuk
Jeruk,Buah,Pembeku,2,19,Terlalu Matang
Tomat,Sayur,Pembeku,1,30,Segar
Mangga,Buah,Pendingin,0,14,Matang
Mangga,Buah,Suhu Ruang,5,11,Mentah
Anggur,Buah,Pendingin,2,17,Mentah
Cabe,Sayur,Suhu Ruang,1,0,Busuk
Timun,Sayur,Pendingin,2,2,Busuk
Wortel,Sayur,Pendingin,0,2,Busuk
Tomat,Sayur,Suhu Ruang,6,10,Segar
Wortel,Sayur,Pembeku,2,1,Busuk
Anggur,Buah,Suhu Ruang,1,0,Busuk
Tomat,Sayur,Pendingin,3,21,Segar
Jeruk,Buah,Pembeku,0,1,Busuk
Tomat,Sayur,Pembeku,0,1,Busuk
Tomat,Sayur,Suhu Ruang,2,5,Segar
Kentang,Sayur,Pendingin,0,20,Segar
Tomat,Sayur,Pendingin,1,0,Busuk
Mangga,Buah,Pendingin,0,23,Mentah
Jeruk,Buah,Suhu Ruang,1,13,Mentah
Timun,Sayur,Pembeku,1,1,Busuk
Kentang,Sayur,Pendingin,1,2,Busuk
Wortel,Sayur,Pendingin,0,31,Segar
Mangga,Buah,Pembeku,1,3,Busuk
Cabe,Sayur,Pendingin,3,12,Segar
Mangga,Buah,Pembeku,5,26,Matang
Wortel,Sayur,Pendingin,2,1,Busuk
Timun,Sayur,Pembeku,2,27,Segar
Apel,Buah,Pembeku,2,12,Terlalu Matang
Kentang,Sayur,Suhu Ruang,2,18,Segar
Kentang,Sayur,Pembeku,0,4,Busuk
Pisang,Buah,Pendingin,2,5,Terlalu Matang
Wortel,Sayur,Pembeku,0,4,Busuk
Cabe,Sayur,Suhu Ruang,1,1,Busuk
Anggur,Buah,Suhu Ruang,2,2,Terlalu Matang
Anggur,Buah,Pendingin,1,5,Terlalu Matang
Timun,Sayur,Suhu Ruang,0,0,Busuk
Jeruk,Buah,Pendingin,6,30,Mentah
Jeruk,Buah,Pembeku,0,2,Busuk
Apel,Buah,Pembeku,0,10,Terlalu Matang
Anggur,Buah,Pembeku,0,27,Matang
Pisang,Buah,Pembeku,5,26,Matang
Wortel,Sayur,Pembeku,1,10,Busuk
Tomat,Sayur,Pendingin,3,10,Segar
Apel,Buah,Suhu Ruang,2,10,Mentah
Cabe,Sayur,Pendingin,0,1,Busuk
Kentang,Sayur,Suhu Ruang,0,0,Busuk
Pisang,Buah,Pendingin,0,0,Busuk
Kentang,Sayur,Suhu Ruang,2,1,Busuk
Wortel,Sayur,Suhu Ruang,2,0,Busuk
Mangga,Buah,Pendingin,3,3,Terlalu Matang
Mangga,Buah,Suhu Ruang,2,7,Mentah
Wortel,Sayur,Suhu Ruang,2,2,Busuk
Wortel,Sayur,Pendingin,1,1,Busuk
Anggur,Buah,Suhu Ruang,4,11,Mentah
Anggur,Buah,Pendingin,1,22,Mentah
Timun,Sayur,Pembeku,4,38,Segar
Mangga,Buah,Pendingin,3,17,Matang
Apel,Buah,Pendingin,2,7,Terlalu Matang
Kentang,Sayur,Pembeku,0,8,Busuk
Anggur,Buah,Suhu Ruang,0,3,Terlalu Matang
Anggur,Buah,Pembeku,2,8,Terlalu Matang
Anggur,Buah,Pendingin,6,18,Mentah
Cabe,Sayur,Pendingin,0,29,Segar
Jeruk,Buah,Pendingin,0,1,Busuk
Tomat,Sayur,Pendingin,1,3,Busuk
Mangga,Buah,Suhu Ruang,1,0,Busuk
Jeruk,Buah,Pembeku,1,1,Busuk
Jeruk,Buah,Pembeku,0,4,Busuk
Kentang,Sayur,Pendingin,1,0,Busuk
Jeruk,Buah,Pendingin,3,24,Matang
Jeruk,Buah,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Pendingin,1,5,Busuk
Wortel,Sayur,Pembeku,0,5,Busuk
Jeruk,Buah,Pendingin,1,2,Busuk
Pisang,Buah,Pendingin,3,4,Terlalu Matang
Pisang,Buah,Pembeku,2,12,Terlalu Matang
Anggur,Buah,Pendingin,1,1,Busuk
Kentang,Sayur,Suhu Ruang,3,10,Segar
Cabe,Sayur,Pendingin,4,20,Segar
Apel,Buah,Pembeku,1,0,Busuk
Anggur,Buah,Pendingin,0,15,Matang
Apel,Buah,Suhu Ruang,4,8,Matang
Pisang,Buah,Pembeku,1,38,Mentah
Kentang,Sayur,Pembeku,1,9,Busuk
Apel,Buah,Pembeku,4,39,Matang
Jeruk,Buah,Pendingin,3,8,Terlalu Matang
Timun,Sayur,Suhu Ruang,4,11,Segar
Jeruk,Buah,Pendingin,2,9,Terlalu Matang
Apel,Buah,Pembeku,3,29,Matang
Pisang,Buah,Pembeku,0,10,Terlalu Matang
Timun,Sayur,Pendingin,0,1,Busuk
Tomat,Sayur,Suhu Ruang,0,1,Busuk
Mangga,Buah,Pendingin,2,13,Mentah
Tomat,Sayur,Pendingin,0,2,Busuk
Apel,Buah,Pendingin,0,7,Terlalu Matang
Mangga,Buah,Pembeku,1,0,Busuk
Pisang,Buah,Pembeku,2,8,Terlalu Matang
Timun,Sayur,Pembeku,1,5,Busuk
Wortel,Sayur,Pendingin,2,4,Busuk
Apel,Buah,Pendingin,0,9,Terlalu Matang
Jeruk,Buah,Pendingin,1,10,Terlalu Matang
Apel,Buah,Suhu Ruang,0,0,Busuk
Pisang,Buah,Suhu Ruang,4,7,Matang
Pisang,Buah,Pembeku,0,1,Busuk
Apel,Buah,Pendingin,1,19,Mentah
Jeruk,Buah,Pembeku,4,37,Matang
Tomat,Sayur,Pendingin,3,9,Segar
Pisang,Buah,Pendingin,2,14,Mentah
Apel,Buah,Pendingin,0,1,Busuk
Apel,Buah,Pendingin,0,19,Mentah
Tomat,Sayur,Pembeku,4,29,Segar
Apel,Buah,Suhu Ruang,1,9,Mentah
Jeruk,Buah,Suhu Ruang,4,11,Matang
Anggur,Buah,Pendingin,0,0,Busuk
Pisang,Buah,Pembeku,0,7,Terlalu Matang
Cabe,Sayur,Pembeku,0,2,Busuk
Apel,Buah,Suhu Ruang,1,10,Matang
Pisang,Buah,Pendingin,1,13,Mentah
Jeruk,Buah,Suhu Ruang,0,16,Mentah
Tomat,Sayur,Pendingin,2,17,Segar
Timun,Sayur,Suhu Ruang,1,8,Segar
Apel,Buah,Suhu Ruang,2,10,Matang
Kentang,Sayur,Suhu Ruang,1,10,Segar
Timun,Sayur,Pembeku,1,6,Busuk
Apel,Buah,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Pendingin,1,5,Busuk
Mangga,Buah,Pembeku,0,0,Busuk
Anggur,Buah,Pendingin,0,6,Terlalu Matang
Anggur,Buah,Suhu Ruang,5,7,Mentah
Tomat,Sayur,Pembeku,1,34,Segar
Apel,Buah,Suhu Ruang,1,1,Busuk
Kentang,Sayur,Pendingin,6,25,Segar
Wortel,Sayur,Suhu Ruang,0,1,Busuk
Wortel,Sayur,Pendingin,2,20,Segar
Mangga,Buah,Pembeku,0,1,Busuk
Kentang,Sayur,Pendingin,3,39,Segar
Pisang,Buah,Pendingin,0,0,Busuk
Wortel,Sayur,Pembeku,6,31,Segar
Mangga,Buah,Pendingin,4,13,Matang
Kentang,Sayur,Suhu Ruang,1,1,Busuk
Mangga,Buah,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Pendingin,2,5,Busuk
Tomat,Sayur,Pendingin,2,1,Busuk
Apel,Buah,Pendingin,2,19,Matang
Anggur,Buah,Pembeku,1,0,Busuk
Apel,Buah,Suhu Ruang,2,8,Matang
Kentang,Sayur,Pendingin,0,0,Busuk
Jeruk,Buah,Suhu Ruang,0,4,Terlalu Matang
Kentang,Sayur,Suhu Ruang,5,14,Segar
Timun,Sayur,Pembeku,5,22,Segar
Cabe,Sayur,Pendingin,2,2,Busuk
Pisang,Buah,Suhu Ruang,1,7,Matang
Cabe,Sayur,Pembeku,0,0,Busuk
Pisang,Buah,Suhu Ruang,3,4,Matang
Mangga,Buah,Pendingin,0,6,Terlalu Matang
Timun,Sayur,Suhu Ruang,4,5,Segar
Wortel,Sayur,Pendingin,0,36,Segar
Jeruk,Buah,Pendingin,4,28,Mentah
Wortel,Sayur,Pendingin,1,1,Busuk
Tomat,Sayur,Suhu Ruang,2,6,Segar
Cabe,Sayur,Suhu Ruang,1,1,Busuk
Jeruk,Buah,Pendingin,1,22,Matang
Tomat,Sayur,Suhu Ruang,2,0,Busuk
Wortel,Sayur,Suhu Ruang,0,0,Busuk
Cabe,Sayur,Pendingin,0,1,Busuk
Apel,Buah,Suhu Ruang,3,4,Terlalu Matang
Apel,Buah,Pembeku,4,41,Matang
Wortel,Sayur,Suhu Ruang,3,14,Segar
Anggur,Buah,Suhu Ruang,0,3,Terlalu Matang
Jeruk,Buah,Pendingin,0,0,Busuk
Timun,Sayur,Pendingin,2,3,Busuk
Cabe,Sayur,Pendingin,2,0,Busuk
Timun,Sayur,Pembeku,3,31,Segar
Cabe,Sayur,Pendingin,2,10,Segar
Wortel,Sayur,Pendingin,2,4,Busuk
Pisang,Buah,Pembeku,3,6,Terlalu Matang
Wortel,Sayur,Pendingin,5,13,Segar
Apel,Buah,Pembeku,5,35,Matang
Kentang,Sayur,Suhu Ruang,6,18,Segar
Pisang,Buah,Pendingin,2,13,Mentah
Cabe,Sayur,Pendingin,0,3,Busuk
Cabe,Sayur,Suhu Ruang,0,0,Busuk
Anggur,Buah,Pendingin,4,12,Matang
Wortel,Sayur,Pembeku,0,0,Busuk
Tomat,Sayur,Pembeku,3,30,Segar
Mangga,Buah,Pembeku,2,24,Matang
Mangga,Buah,Pembeku,4,21,Matang
Tomat,Sayur,Pembeku,0,2,Busuk
Wortel,Sayur,Suhu Ruang,0,1,Busuk
Apel,Buah,Pembeku,1,15,Terlalu Matang
Tomat,Sayur,Pendingin,0,10,Segar
Cabe,Sayur,Pembeku,3,24,Segar
Pisang,Buah,Suhu Ruang,3,5,Matang
Kentang,Sayur,Suhu Ruang,2,15,Segar
Apel,Buah,Pendingin,3,16,Matang
Timun,Sayur,Pembeku,1,2,Busuk
Kentang,Sayur,Suhu Ruang,0,1,Busuk
Tomat,Sayur,Pembeku,1,2,Busuk
Wortel,Sayur,Pendingin,6,25,Segar
Apel,Buah,Pembeku,0,18,Terlalu Matang
Timun,Sayur,Suhu Ruang,1,6,Segar
Jeruk,Buah,Suhu Ruang,0,1,Busuk
Cabe,Sayur,Suhu Ruang,0,14,Segar
Mangga,Buah,Pembeku,2,28,Matang
Wortel,Sayur,Pembeku,2,10,Busuk
Cabe,Sayur,Suhu Ruang,1,1,Busuk
Pisang,Buah,Suhu Ruang,2,8,Mentah
Wortel,Sayur,Suhu Ruang,4,8,Segar
Jeruk,Buah,Suhu Ruang,5,8,Matang
Kentang,Sayur,Pendingin,6,33,Segar
Apel,Buah,Pendingin,3,8,Terlalu Matang
Jeruk,Buah,Pendingin,1,0,Busuk
Tomat,Sayur,Pendingin,6,14,Segar
Timun,Sayur,Pendingin,2,13,Segar
Timun,Sayur,Pembeku,6,35,Segar
Apel,Buah,Pembeku,2,12,Terlalu Matang
Timun,Sayur,Suhu Ruang,2,1,Busuk
Tomat,Sayur,Pendingin,1,1,Busuk
Kentang,Sayur,Pendingin,0,4,Busuk
Kentang,Sayur,Pendingin,1,27,Segar
Anggur,Buah,Pembeku,2,30,Matang
Wortel,Sayur,Pendingin,5,16,Segar
Tomat,Sayur,Pendingin,2,2,Busuk
Mangga,Buah,Suhu Ruang,3,3,Terlalu Matang
Mangga,Buah,Suhu Ruang,0,7,Matang
Kentang,Sayur,Suhu Ruang,0,0,Busuk
Kentang,Sayur,Suhu Ruang,2,1,Busuk
Kentang,Sayur,Pendingin,3,35,Segar
Cabe,Sayur,Pendingin,1,27,Segar
Anggur,Buah,Pendingin,1,17,Mentah
Cabe,Sayur,Pendingin,5,18,Segar
Cabe,Sayur,Suhu Ruang,2,0,Busuk
Anggur,Buah,Pembeku,0,3,Busuk
Tomat,Sayur,Pembeku,0,1,Busuk
Mangga,Buah,Pendingin,2,14,Matang
Mangga,Buah,Suhu Ruang,1,0,Busuk
Apel,Buah,Suhu Ruang,3,16,Mentah
Wortel,Sayur,Suhu Ruang,1,13,Segar
Timun,Sayur,Pembeku,2,39,Segar
Timun,Sayur,Suhu Ruang,0,10,Segar
Cabe,Sayur,Pembeku,6,21,Segar
Mangga,Buah,Pendingin,1,0,Busuk
Tomat,Sayur,Pembeku,2,4,Busuk
Tomat,Sayur,Pendingin,0,0,Busuk
Tomat,Sayur,Pendingin,0,1,Busuk
Anggur,Buah,Pendingin,3,12,Matang
Anggur,Buah,Suhu Ruang,0,7,Matang
Tomat,Sayur,Pembeku,2,4,Busuk
Jeruk,Buah,Pendingin,1,0,Busuk
Timun,Sayur,Pembeku,0,2,Busuk
Pisang,Buah,Pembeku,1,1,Busuk
Wortel,Sayur,Pembeku,0,0,Busuk
Mangga,Buah,Pendingin,0,1,Busuk
Kentang,Sayur,Suhu Ruang,5,7,Segar
Wortel,Sayur,Pembeku,6,35,Segar
Anggur,Buah,Pendingin,1,6,Terlalu Matang
Timun,Sayur,Pendingin,3,13,Segar
Timun,Sayur,Pembeku,0,3,Busuk
Tomat,Sayur,Pendingin,1,1,Busuk
Kentang,Sayur,Suhu Ruang,1,19,Segar
Pisang,Buah,Pendingin,3,4,Terlalu Matang
Anggur,Buah,Pendingin,3,13,Matang
Cabe,Sayur,Suhu Ruang,2,0,Busuk
Apel,Buah,Suhu Ruang,2,3,Terlalu Matang
Cabe,Sayur,Suhu Ruang,6,5,Segar
Anggur,Buah,Pendingin,0,7,Terlalu Matang
Apel,Buah,Pendingin,1,0,Busuk
Pisang,Buah,Pembeku,1,28,Matang
Anggur,Buah,Pendingin,1,18,Matang
Pisang,Buah,Pembeku,1,8,Terlalu Matang
Anggur,Buah,Pendingin,5,11,Matang
Jeruk,Buah,Pendingin,3,19,Matang
Cabe,Sayur,Pendingin,1,18,Segar
Timun,Sayur,Suhu Ruang,1,0,Busuk
Apel,Buah,Pembeku,3,16,Terlalu Matang
Apel,Buah,Suhu Ruang,1,4,Terlalu Matang
Anggur,Buah,Pembeku,1,28,Matang
Anggur,Buah,Suhu Ruang,5,6,Matang
Apel,Buah,Pendingin,3,17,Mentah
Mangga,Buah,Suhu Ruang,0,0,Busuk
Anggur,Buah,Pembeku,1,2,Busuk
Timun,Sayur,Pendingin,1,22,Segar
Kentang,Sayur,Pendingin,2,35,Segar
Tomat,Sayur,Suhu Ruang,2,0,Busuk
Apel,Buah,Suhu Ruang,3,3,Terlalu Matang
Apel,Buah,Suhu Ruang,4,14,Mentah
Mangga,Buah,Pembeku,3,14,Terlalu Matang
Timun,Sayur,Suhu Ruang,2,0,Busuk
Kentang,Sayur,Pendingin,0,1,Busuk
Timun,Sayur,Pembeku,3,35,Segar
Mangga,Buah,Pembeku,3,27,Matang
Apel,Buah,Suhu Ruang,0,1,Busuk
Anggur,Buah,Pembeku,2,35,Matang
Pisang,Buah,Pembeku,0,29,Matang
Timun,Sayur,Pendingin,4,16,Segar
Cabe,Sayur,Pendingin,0,20,Segar
Cabe,Sayur,Pendingin,2,24,Segar
Anggur,Buah,Pendingin,2,13,Matang
Apel,Buah,Pembeku,1,12,Terlalu Matang
Apel,Buah,Suhu Ruang,1,14,Mentah
Anggur,Buah,Suhu Ruang,0,2,Terlalu Matang
Pisang,Buah,Pendingin,0,1,Busuk
Timun,Sayur,Suhu Ruang,0,12,Segar
Apel,Buah,Suhu Ruang,4,12,Mentah
Tomat,Sayur,Pembeku,0,1,Busuk
Cabe,Sayur,Pendingin,2,0,Busuk
Timun,Sayur,Pembeku,2,36,Segar
Kentang,Sayur,Pendingin,5,40,Segar
Apel,Buah,Pembeku,0,2,Busuk
Wortel,Sayur,Pendingin,0,2,Busuk
Cabe,Sayur,Suhu Ruang,2,1,Busuk
Anggur,Buah,Pendingin,3,7,Terlalu Matang
Pisang,Buah,Pembeku,1,16,Matang
Anggur,Buah,Pendingin,4,17,Matang
Mangga,Buah,Pembeku,0,2,Busuk
Apel,Buah,Pembeku,0,11,Terlalu Matang
Tomat,Sayur,Suhu Ruang,1,1,Busuk
Mangga,Buah,Pembeku,1,0,Busuk
Kentang,Sayur,Suhu Ruang,1,20,Segar
Jeruk,Buah,Pembeku,0,2,Busuk
Cabe,Sayur,Pembeku,2,5,Busuk
Anggur,Buah,Pendingin,4,27,Mentah
Wortel,Sayur,Pembeku,0,4,Busuk
Pisang,Buah,Pendingin,2,11,Matang
Pisang,Buah,Pendingin,0,6,Terlalu Matang
Jeruk,Buah,Suhu Ruang,0,0,Busuk
Apel,Buah,Pendingin,3,21,Mentah
Timun,Sayur,Pembeku,2,25,Segar
Mangga,Buah,Pendingin,0,1,Busuk
Apel,Buah,Pembeku,5,36,Matang
Cabe,Sayur,Pembeku,2,0,Busuk
Jeruk,Buah,Pembeku,2,20,Terlalu Matang
Mangga,Buah,Pembeku,4,37,Mentah
Anggur,Buah,Pendingin,1,0,Busuk
Apel,Buah,Pembeku,0,1,Busuk
Kentang,Sayur,Suhu Ruang,1,0,Busuk
Anggur,Buah,Pembeku,0,15,Terlalu Matang
Timun,Sayur,Pendingin,2,2,Busuk
Cabe,Sayur,Pendingin,1,27,Segar
Jeruk,Buah,Suhu Ruang,1,0,Busuk
Timun,Sayur,Pendingin,0,10,Segar
Jeruk,Buah,Pembeku,1,11,Terlalu Matang
Timun,Sayur,Suhu Ruang,2,0,Busuk
Mangga,Buah,Suhu Ruang,0,3,Terlalu Matang
Anggur,Buah,Pembeku,3,39,Mentah
Tomat,Sayur,Pendingin,0,0,Busuk
Tomat,Sayur,Pendingin,0,19,Segar
Jeruk,Buah,Pendingin,1,26,Mentah
Cabe,Sayur,Suhu Ruang,0,1,Busuk
Timun,Sayur,Pendingin,2,2,Busuk
Wortel,Sayur,Pendingin,6,36,Segar
Anggur,Buah,Suhu Ruang,0,6,Matang
Cabe,Sayur,Pembeku,2,2,Busuk
Anggur,Buah,Suhu Ruang,6,10,Mentah
Anggur,Buah,Suhu Ruang,3,2,Terlalu Matang
Anggur,Buah,Pembeku,0,1,Busuk
Mangga,Buah,Pembeku,3,22,Matang
Apel,Buah,Pendingin,4,21,Matang
Tomat,Sayur,Pendingin,1,0,Busuk
Anggur,Buah,Suhu Ruang,2,5,Matang
Anggur,Buah,Pendingin,2,7,Terlalu Matang
Cabe,Sayur,Suhu Ruang,4,8,Segar
Anggur,Buah,Pembeku,1,2,Busuk
Anggur,Buah,Pembeku,3,9,Terlalu Matang
