food_name,food_category,shelf_life_unopened_days,shelf_life_opened_days,ideal_storage_temp,temp_coefficient,preservatives_level,packaging_type,ph_level
Susu Kedelai,minuman,254.0,2.0,4.4,0.117,2,karton,6.59
Selai Kacang,saus,388.0,102.0,24.6,0.071,4,botol kaca,6.09
Susu UHT Full Cream,produk susu,291.0,7.0,4.0,5.0,3,karton,6.65
Kopi Instan,minuman,696.0,33.0,25.3,0.032,3,plastik,5.23
Selai Coklat,saus,377.0,68.0,24.9,0.084,4,botol kaca,6.15
Sarden Tomat,kaleng,737.0,2.0,25.1,0.057,5,kaleng,5.95
Jus Jeruk,minuman,174.0,5.0,4.4,0.117,2,karton,3.57
Keju Cheddar,produk susu,185.0,15.0,4.1,0.108,4,plastik,5.89
Biskuit Coklat,camilan,175.0,7.0,25.5,0.069,3,plastik,6.37
  Minuman Isotonik  ,minuman,386.0,0.0,24.9,0.053,3,plastik,5.675
Kopi Instan,minuman,736.0,28.0,24.6,0.043,3,plastik,4.88
Jagung Manis Kaleng,kaleng,783.0,3.0,25.5,0.079,5,kaleng,6.11
  Tomat Kaleng  ,kaleng,739.0,4.0,25.5,0.052,4,kaleng,4.46
Mentega Unsalted,produk susu,82.0,34.0,4.4,0.079,3,karton,6.67
  Keju Cheddar  ,produk susu,176.0,14.0,3.9,0.094,4,plastik,5.75
Mentega Unsalted,produk susu,89.0,32.0,4.3,0.079,3,karton,7.15
Saus Tomat,saus,333.0,31.0,24.8,0.096,4,botol kaca,4.11
Teh Celup,minuman,749.0,59.0,24.6,0.037,2,karton,5.675
Minuman Isotonik,minuman,331.0,0.0,25.1,0.05,3,plastik,3.98
Jus Jeruk,minuman,168.0,4.0,4.4,0.12,2,karton,3.64
Mie Instan,unknown,382.0,2.0,25.2,0.06,4,plastik,6.17
Susu Kedelai,minuman,281.0,2.0,4.2,0.129,2,karton,6.66
Minuman Isotonik,minuman,334.0,0.0,24.9,0.056,3,plastik,3.95
Susu UHT Low Fat,produk susu,218.0,4.0,3.9,0.124,3,karton,6.69
Jus Jeruk,minuman,177.0,4.0,4.2,0.12,2,karton,3.9
Teh Botol,minuman,366.0,1.0,24.9,0.077,3,botol kaca,5.42
Biskuit Coklat,camilan,181.0,6.0,24.5,0.062,3,plastik,6.73
Krim Kental Manis,unknown,774.0,5.0,25.0,0.079,5,kaleng,6.43
Mie Instan,camilan,392.0,1.0,25.5,0.079,4,plastik,6.29
Susu UHT Full Cream,produk susu,296.0,7.0,3.9,0.12,3,karton,6.57
Jus Jeruk,minuman,193.0,4.0,4.0,0.114,2,karton,4.05
  Teh Celup  ,minuman,691.0,58.0,24.8,0.045,2,karton,5.47
Kopi Instan,minuman,761.0,27.0,24.8,0.035,3,plastik,4.99
Saus Tomat,saus,358.0,28.0,25.1,0.106,4,botol kaca,3.99
Selai Coklat,saus,330.0,57.0,24.9,0.089,4,botol kaca,6.61
Kornet Sapi,kaleng,1167.0,2.0,25.4,0.057,4,kaleng,6.07
Yoghurt Strawberry,produk susu,29.0,3.0,3.8,0.156,2,plastik,4.26
Kecap Manis,saus,380.0,60.0,24.7,0.085,4,botol kaca,4.46
Susu Kedelai,minuman,295.0,2.0,4.0,0.128,2,karton,5.675
Susu Kedelai,minuman,247.0,3.0,4.3,0.122,2,karton,7.07
Kopi Instan,minuman,694.0,27.0,24.5,0.046,3,plastik,5.24
Jagung Manis Kaleng,kaleng,750.0,4.0,25.0,0.079,5,kaleng,6.13
Saus Sambal,saus,333.0,26.0,25.2,0.079,4,botol kaca,3.83
Krim Kental Manis,produk susu,775.0,4.0,25.3,0.062,5,kaleng,6.72
Krim Kental Manis,produk susu,799.0,5.0,24.8,0.062,5,kaleng,6.32
Selai Kacang,saus,336.0,93.0,25.3,0.078,4,botol kaca,5.94
Biskuit Coklat,camilan,175.0,6.0,24.7,0.071,3,plastik,6.54
Mentega Unsalted,produk susu,94.0,27.0,3.7,0.08,3,karton,7.03
Selai Coklat,saus,356.0,68.0,25.0,0.089,4,botol kaca,6.62
Keju Cheddar,produk susu,183.0,12.0,3.7,0.101,4,plastik,5.83
Yoghurt Strawberry,produk susu,27.0,2.0,3.8,0.146,2,plastik,4.22
Selai Coklat,saus,349.0,58.0,25.1,0.083,4,botol kaca,0.0
Saus Tomat,saus,330.0,33.0,25.3,0.095,4,botol kaca,3.71
Air Mineral,minuman,775.0,1.0,25.3,0.035,1,plastik,7.11
Tomat Kaleng,unknown,763.0,4.0,25.1,0.06,4,kaleng,4.23
Krim Kental Manis,produk susu,712.0,4.0,24.9,0.075,5,kaleng,6.71
Saus Tomat,saus,370.0,33.0,25.0,0.095,4,botol kaca,3.75
Ikan Tuna Kaleng,unknown,1066.0,1.0,24.8,0.079,5,kaleng,6.19
Minuman Energi,minuman,373.0,0.0,25.4,0.063,4,kaleng,3.48
Keju Cheddar,produk susu,171.0,12.0,24.8,0.092,4,plastik,5.82
Sarden Tomat,kaleng,796.0,1.0,25.2,0.051,5,kaleng,5.96
Sarden Cabai,kaleng,773.0,1.0,24.5,0.044,5,kaleng,5.6
Krim Kental Manis,produk susu,370.0,5.0,25.1,0.077,5,kaleng,6.58
Sarden Tomat,kaleng,706.0,2.0,24.7,0.044,5,kaleng,5.87
Saus Sambal,saus,369.0,27.0,25.1,0.079,4,botol kaca,3.64
Minuman Energi,minuman,336.0,0.0,25.1,0.065,4,kaleng,3.56
Kecap Manis,saus,390.0,57.0,25.3,0.091,4,botol kaca,4.68
Kecap Asin,saus,366.0,90.0,25.5,0.091,4,botol kaca,4.73
Sarden Tomat,kaleng,782.0,1.0,25.3,0.049,5,kaleng,5.78
Mie Instan,camilan,390.0,1.0,24.7,0.066,4,plastik,5.9
Jus Jeruk,minuman,193.0,4.0,24.8,0.128,2,karton,5.675
  Kornet Sapi  ,kaleng,1174.0,3.0,24.8,0.053,5,kaleng,5.94
Susu UHT Low Fat,produk susu,226.0,4.0,4.1,0.115,3,karton,6.53
Minuman Isotonik,minuman,346.0,0.0,25.1,0.051,3,plastik,4.26
Saus Tomat,saus,364.0,25.0,25.0,0.102,4,botol kaca,4.12
Sarden Tomat,kaleng,679.0,1.0,24.9,0.046,5,kaleng,5.76
Teh Celup,minuman,755.0,53.0,24.9,0.037,2,karton,5.55
Kopi Instan,minuman,672.0,4.0,24.7,0.049,3,plastik,5.01
Minuman Energi,minuman,338.0,0.0,24.7,0.077,4,unknown,3.66
Mayones,saus,283.0,15.0,9.9,0.115,4,plastik,3.79
Kopi Instan,minuman,775.0,26.0,24.9,0.038,4,plastik,5.11
Mayones,saus,267.0,14.0,9.8,0.105,4,plastik,4.12
Saus Sambal,saus,379.0,28.0,24.8,0.09,4,unknown,3.92
Selai Coklat,saus,374.0,62.0,25.4,0.079,4,unknown,6.43
Jus Jeruk,minuman,185.0,5.0,4.1,0.11,2,unknown,3.97
Kopi Instan,minuman,725.0,31.0,25.4,0.034,3,plastik,5.05
Keju Cheddar,unknown,183.0,15.0,4.2,0.094,4,plastik,5.96
Kornet Sapi,kaleng,1093.0,3.0,25.1,0.049,5,kaleng,5.96
Sarden Cabai,kaleng,718.0,1.0,24.7,0.058,5,kaleng,5.67
Krim Kental Manis,produk susu,700.0,5.0,24.8,0.063,5,kaleng,6.52
Jus Jeruk,minuman,177.0,4.0,4.0,0.117,2,karton,4.01
Mentega Unsalted,produk susu,86.0,29.0,4.1,0.085,3,karton,6.65
Teh Celup,minuman,692.0,59.0,25.1,0.038,2,karton,5.22
Teh Botol,unknown,400.0,1.0,24.8,0.085,3,botol kaca,5.31
Saus Tomat,unknown,362.0,31.0,25.5,0.095,4,botol kaca,3.61
Susu UHT Low Fat,produk susu,243.0,5.0,4.2,0.111,3,karton,6.76
Kecap Asin,saus,344.0,78.0,25.3,0.079,4,botol kaca,4.68
Saus Sambal,saus,370.0,33.0,24.6,0.099,4,botol kaca,3.8
Yoghurt Strawberry,produk susu,370.0,3.0,3.5,0.144,2,unknown,4.29
Minuman Energi,minuman,387.0,1.0,25.0,0.069,4,kaleng,3.64
Sarden Cabai,kaleng,791.0,2.0,24.8,0.057,5,kaleng,5.57
Saus Tomat,saus,358.0,26.0,25.4,0.096,4,botol kaca,3.9
Susu UHT Full Cream,produk susu,247.0,7.0,4.0,0.125,3,karton,6.91
Teh Botol,minuman,363.0,0.0,24.8,0.085,3,botol kaca,5.27
Yoghurt Strawberry,produk susu,27.0,3.0,4.4,5.0,2,plastik,4.36
Sarden Tomat,kaleng,690.0,1.0,24.5,0.051,5,kaleng,5.76
Kecap Asin,saus,367.0,95.0,25.2,0.093,4,botol kaca,5.675
Biskuit Coklat,unknown,169.0,7.0,25.2,0.064,3,plastik,6.39
Minuman Isotonik,unknown,330.0,0.0,25.0,0.067,3,unknown,3.84
Mayones,saus,284.0,12.0,24.8,0.115,4,plastik,3.77
Selai Kacang,unknown,353.0,95.0,25.1,0.087,4,botol kaca,6.41
Selai Kacang,saus,338.0,85.0,25.5,0.084,4,botol kaca,6.14
Kecap Manis,saus,372.0,65.0,24.7,0.09,6,botol kaca,4.47
Biskuit Coklat,camilan,180.0,6.0,25.0,0.079,3,plastik,6.23
Teh Celup,unknown,659.0,67.0,25.4,0.042,2,karton,5.54
Air Mineral,unknown,663.0,0.0,24.5,0.039,1,plastik,5.675
Mentega Unsalted,produk susu,94.0,28.0,4.4,0.086,3,karton,7.12
Sarden Cabai,kaleng,791.0,4.0,25.3,0.079,5,kaleng,5.46
Minuman Energi,minuman,346.0,1.0,24.5,0.075,4,kaleng,3.66
Susu Kedelai,minuman,254.0,2.0,3.8,0.117,2,karton,6.5
Kornet Sapi,kaleng,1158.0,2.0,25.4,0.05,5,kaleng,6.19
Tomat Kaleng,kaleng,801.0,5.0,24.8,0.064,4,kaleng,4.51
Mentega Unsalted,produk susu,84.0,26.0,24.8,0.078,3,karton,6.88
Mie Instan,camilan,363.0,2.0,24.8,0.079,4,plastik,5.95
Air Mineral,minuman,784.0,4.0,24.8,0.033,1,plastik,7.25
Jus Jeruk,minuman,186.0,5.0,4.4,0.12,2,karton,3.8
Susu UHT Full Cream,produk susu,285.0,7.0,4.0,0.119,3,karton,7.08
Jagung Manis Kaleng,kaleng,715.0,2.0,25.1,0.051,5,kaleng,5.99
Kecap Manis,saus,358.0,62.0,24.6,0.099,4,unknown,4.24
Teh Botol,minuman,401.0,0.0,24.7,0.075,3,botol kaca,5.76
Mentega Unsalted,produk susu,97.0,30.0,4.2,0.087,3,karton,7.06
Selai Kacang,saus,382.0,82.0,24.8,0.077,4,botol kaca,6.12
Mie Instan,camilan,375.0,1.0,24.8,0.067,4,plastik,5.82
Yoghurt Strawberry,produk susu,27.0,3.0,4.4,0.147,2,plastik,4.34
Jagung Manis Kaleng,kaleng,688.0,2.0,24.6,0.058,5,kaleng,6.49
  Biskuit Coklat  ,camilan,184.0,7.0,25.0,0.077,3,plastik,6.53
Mie Instan,camilan,380.0,1.0,24.6,0.05,4,plastik,5.89
Saus Sambal,saus,376.0,26.0,24.7,0.092,4,botol kaca,3.4
Kopi Instan,minuman,701.0,26.0,25.4,0.049,3,plastik,4.75
Teh Botol,minuman,350.0,1.0,25.1,0.076,3,botol kaca,5.27
Ikan Tuna Kaleng,kaleng,1057.0,1.0,24.9,0.053,5,kaleng,6.25
Susu UHT Full Cream,produk susu,277.0,6.0,24.8,0.114,10,karton,6.94
Tomat Kaleng,kaleng,692.0,4.0,24.9,0.079,4,kaleng,4.14
  Saus Sambal  ,saus,386.0,28.0,25.2,0.103,4,botol kaca,3.86
Ikan Tuna Kaleng,unknown,1121.0,1.0,24.9,0.051,5,unknown,5.82
Tomat Kaleng,kaleng,755.0,5.0,25.3,0.069,4,kaleng,4.07
Selai Kacang,saus,341.0,97.0,25.0,0.084,4,botol kaca,6.28
Kecap Manis,saus,389.0,55.0,24.6,0.08,4,botol kaca,4.52
  Teh Botol  ,unknown,401.0,1.0,24.9,0.072,3,botol kaca,5.58
Sarden Cabai,unknown,689.0,1.0,24.9,0.041,5,kaleng,5.6
  Krim Kental Manis  ,produk susu,763.0,5.0,25.5,0.062,5,kaleng,5.675
Susu UHT Low Fat,produk susu,222.0,4.0,4.4,0.126,3,karton,6.92
Susu UHT Full Cream,produk susu,260.0,7.0,3.9,0.12,3,karton,7.09
Mayones,saus,249.0,15.0,24.8,0.112,4,unknown,4.07
Tomat Kaleng,kaleng,741.0,4.0,25.2,0.054,4,unknown,4.06
Susu UHT Low Fat,produk susu,222.0,4.0,4.1,0.127,3,karton,6.73
Jagung Manis Kaleng,kaleng,745.0,2.0,25.2,0.053,5,kaleng,6.13
Kecap Asin,saus,360.0,99.0,25.5,0.086,4,botol kaca,4.87
Air Mineral,minuman,671.0,1.0,25.0,0.04,1,plastik,5.675
Jagung Manis Kaleng,kaleng,673.0,3.0,25.1,0.05,5,kaleng,6.21
Teh Celup,minuman,727.0,52.0,25.3,0.045,2,karton,5.28
Susu UHT Full Cream,produk susu,288.0,6.0,4.1,0.079,3,karton,6.74
Keju Cheddar,produk susu,191.0,14.0,3.8,0.093,4,plastik,6.07
Yoghurt Strawberry,produk susu,31.0,2.0,4.1,0.079,2,plastik,4.22
Kecap Asin,saus,390.0,102.0,25.3,0.092,4,botol kaca,5.675
Tomat Kaleng,kaleng,723.0,4.0,24.7,0.064,4,kaleng,4.34
  Air Mineral  ,minuman,679.0,1.0,25.2,0.025,1,plastik,7.1
Mie Instan,camilan,367.0,1.0,200.0,0.059,4,plastik,5.675
Selai Kacang,saus,379.0,88.0,25.2,0.088,4,botol kaca,5.675
Yoghurt Strawberry,produk susu,32.0,2.0,3.7,0.142,2,plastik,4.37
Mentega Unsalted,produk susu,96.0,31.0,24.8,0.084,3,karton,6.73
Saus Tomat,saus,373.0,32.0,25.4,0.094,4,botol kaca,3.73
Sarden Cabai,unknown,799.0,2.0,25.2,0.043,5,kaleng,5.92
Sarden Cabai,kaleng,759.0,1.0,24.7,0.046,5,kaleng,5.45
Ikan Tuna Kaleng,kaleng,1200.0,2.0,25.4,0.042,5,kaleng,6.38
Sarden Tomat,kaleng,698.0,2.0,25.2,0.043,5,kaleng,6.02
Keju Cheddar,produk susu,193.0,16.0,4.3,0.108,4,unknown,5.51
Kecap Asin,saus,399.0,92.0,25.0,0.095,4,botol kaca,4.53
Kecap Asin,saus,343.0,101.0,25.4,0.086,4,botol kaca,4.89
Krim Kental Manis,produk susu,778.0,4.0,24.8,0.07,5,kaleng,5.675
  Ikan Tuna Kaleng  ,kaleng,1197.0,2.0,25.3,0.079,5,kaleng,6.09
Ikan Tuna Kaleng,kaleng,1096.0,1.0,25.1,0.079,5,kaleng,6.34
Yoghurt Plain,produk susu,20.0,4.0,3.8,0.154,2,plastik,3.86
Selai Coklat,saus,387.0,52.0,25.3,0.079,4,botol kaca,6.28
Krim Kental Manis,produk susu,722.0,4.0,24.8,0.069,5,unknown,6.45
Yoghurt Plain,produk susu,22.0,3.0,4.2,0.142,2,plastik,4.28
Minuman Isotonik,minuman,392.0,0.0,25.1,0.062,3,plastik,3.89
Sarden Cabai,kaleng,722.0,1.0,24.6,0.079,5,kaleng,5.9
Air Mineral,minuman,757.0,1.0,24.6,0.035,1,plastik,7.21
Teh Botol,minuman,340.0,0.0,25.0,0.083,3,botol kaca,5.4
Kopi Instan,minuman,778.0,32.0,24.6,0.047,3,plastik,4.73
Teh Celup,minuman,772.0,55.0,24.8,0.033,2,karton,5.23
Yoghurt Strawberry,produk susu,32.0,2.0,3.6,0.152,2,plastik,3.94
Kornet Sapi,kaleng,1174.0,3.0,24.6,0.06,5,kaleng,6.2
Mayones,saus,282.0,13.0,9.5,-0.5,4,plastik,5.675
Sarden Cabai,kaleng,-5.0,2.0,24.8,0.049,5,kaleng,5.43
Jagung Manis Kaleng,kaleng,722.0,3.0,25.2,0.056,5,kaleng,6.19
Teh Botol,minuman,357.0,0.0,24.6,0.087,3,botol kaca,5.47
Jagung Manis Kaleng,kaleng,678.0,3.0,24.8,0.061,5,kaleng,6.23
Kecap Manis,saus,401.0,61.0,25.2,0.083,4,botol kaca,4.38
Sarden Tomat,kaleng,670.0,1.0,25.2,0.047,5,kaleng,5.69
Ikan Tuna Kaleng,kaleng,1144.0,2.0,25.5,0.056,5,kaleng,6.02
Selai Coklat,saus,371.0,67.0,24.8,0.079,4,botol kaca,5.675
Saus Tomat,saus,383.0,34.0,24.7,0.09,4,botol kaca,3.69
Minuman Isotonik,minuman,379.0,1.0,25.5,0.063,3,plastik,3.8
Susu UHT Low Fat,produk susu,248.0,5.0,3.6,0.118,3,unknown,5.675
Selai Coklat,saus,380.0,55.0,24.9,0.083,4,botol kaca,6.28
Air Mineral,minuman,721.0,0.0,25.0,0.038,1,plastik,7.18
Minuman Energi,unknown,394.0,0.0,25.4,0.063,4,kaleng,3.28
Keju Cheddar,produk susu,195.0,14.0,24.8,0.106,4,plastik,5.98
Minuman Isotonik,minuman,338.0,0.0,24.8,0.052,3,plastik,4.26
Susu UHT Low Fat,produk susu,246.0,5.0,4.0,0.123,3,karton,6.56
Jus Jeruk,minuman,193.0,5.0,3.9,0.113,2,karton,4.0
Susu Kedelai,minuman,288.0,3.0,3.5,0.117,2,karton,6.96
  Susu UHT Low Fat  ,produk susu,230.0,4.0,3.8,0.113,3,karton,6.71
  Kecap Manis  ,saus,370.0,4.0,24.5,0.086,4,botol kaca,4.36
Mie Instan,camilan,377.0,2.0,25.1,0.069,4,unknown,6.23
  Yoghurt Plain  ,produk susu,20.0,4.0,3.6,0.149,2,plastik,4.27
Saus Sambal,saus,392.0,29.0,25.0,0.099,4,botol kaca,3.83
Susu UHT Low Fat,produk susu,248.0,5.0,3.6,0.118,3,unknown,5.675
Yoghurt Plain,produk susu,370.0,4.0,3.7,0.143,2,plastik,3.82
Susu Kedelai,minuman,287.0,2.0,4.2,0.129,2,karton,6.58
Air Mineral,minuman,703.0,1.0,24.6,0.029,1,plastik,7.3
Susu Kedelai,minuman,273.0,3.0,3.7,0.112,2,karton,7.02
Kornet Sapi,kaleng,1010.0,3.0,24.6,0.059,5,kaleng,6.22
  Sarden Tomat  ,kaleng,798.0,2.0,25.4,0.057,5,kaleng,5.75
Selai Coklat,saus,391.0,4.0,24.8,0.084,4,botol kaca,6.56
Mie Instan,unknown,328.0,2.0,25.1,0.055,4,unknown,6.14
Selai Kacang,saus,359.0,92.0,25.0,0.089,4,botol kaca,6.02
Minuman Energi,minuman,383.0,0.0,24.9,0.074,4,unknown,0.0
Tomat Kaleng,kaleng,370.0,4.0,24.6,0.068,4,kaleng,4.21
Teh Botol,minuman,375.0,0.0,24.9,0.079,3,botol kaca,5.77
Ikan Tuna Kaleng,kaleng,1047.0,1.0,25.1,0.06,5,kaleng,6.09
Krim Kental Manis,produk susu,792.0,5.0,25.1,0.076,5,kaleng,6.28
Jagung Manis Kaleng,kaleng,772.0,2.0,25.0,0.059,5,kaleng,6.3
Minuman Isotonik,minuman,355.0,1.0,25.2,0.068,3,plastik,4.03
Mayones,saus,278.0,15.0,24.8,0.107,4,plastik,4.05
Biskuit Coklat,camilan,196.0,7.0,25.1,0.069,3,unknown,5.675
Ikan Tuna Kaleng,kaleng,1025.0,1.0,25.4,0.05,5,kaleng,5.675
Susu UHT Low Fat,produk susu,247.0,5.0,3.9,0.114,0,karton,6.62
Kornet Sapi,kaleng,1134.0,2.0,24.7,0.049,5,kaleng,5.78
Teh Celup,minuman,664.0,55.0,25.3,0.039,2,karton,5.68
  Keju Cheddar  ,produk susu,181.0,13.0,24.8,0.092,4,plastik,5.92
Susu UHT Low Fat,produk susu,247.0,4.0,4.3,0.112,3,karton,6.53
Air Mineral,minuman,658.0,1.0,25.2,0.031,1,plastik,6.86
Sarden Cabai,kaleng,777.0,1.0,25.3,0.055,5,kaleng,5.6
Jagung Manis Kaleng,kaleng,683.0,3.0,24.8,0.052,5,kaleng,6.16
Saus Sambal,saus,337.0,31.0,25.1,0.094,4,botol kaca,3.82
Susu UHT Full Cream,produk susu,263.0,7.0,4.5,0.126,3,karton,6.98
Tomat Kaleng,kaleng,687.0,4.0,25.3,0.058,4,unknown,4.45
