item_name,item_type,storage_location,days_since_purchase,sisa_hari,label
Seledri,Leafy Vegetable,Freezer,6.0,15.0,Fresh
Pear,Temperate Fruit,Freezer,35.0,25.0,Fresh
Melon,Tropical Fruit,Freezer,30.0,0.0,Expired
Pear,Temperate Fruit,Freezer,60.0,-2.0,Expired
Pear,Temperate Fruit,Outside,6.0,-1.0,Expired
Semangka,Tropical Fruit,Freezer,34.0,-4.0,Expired
Kol,Leafy Vegetable,Freezer,27.0,3.0,Soon
Stroberi,Berry,Chiller,4.0,1.0,Soon
Kangkung,Leafy Vegetable,Chiller,,1.0,Soon
Brokoli,Leafy Vegetable,Chiller,9.0,1.0,Soon
Singkong,Root Vegetable,Freezer,15.0,15.0,Fresh
Anggur,Temperate Fruit,Freezer,5.0,25.0,Fresh
Apel,Temperate Fruit,Chiller,25.0,-20.0,Expired
Raspberry,Berry,Chiller,2.0,3.0,Soon
Cabai Merah,Chili Pepper,Chiller,3.0,11.0,Fresh
Bawang Putih,Root Vegetable,Chiller,48.0,37.0,Fresh
Kunyit,Root Vegetable,Chiller,14.0,16.0,Fresh
Jeruk,Citric Fruit,Freezer,50.0,10.0,Fresh
Bawang Merah,Root Vegetable,Chiller,,-10.0,Expired
Selada,Leafy Vegetable,Chiller,1.0,6.0,Fresh
Cabai Merah,Chili Pepper,Outside,4.0,1.0,Soon
Melon,Tropical Fruit,Outside,4.0,1.0,Soon
Pepaya,Tropical Fruit,Freezer,39.0,-9.0,Expired
Paprika,Chili Pepper,Chiller,14.0,0.0,Expired
Paprika,Chili Pepper,Chiller,,1.0,Soon
Singkong,Root Vegetable,Outside,3.0,0.0,Expired
Brokoli,Leafy Vegetable,Chiller,10.0,0.0,Expired
Jahe,Root Vegetable,Outside,3.0,11.0,Fresh
Jeruk Bali,Citric Fruit,Chiller,31.0,-1.0,Expired
Bayam,Leafy Vegetable,Freezer,,27.0,Fresh
Apel,Temperate Fruit,Freezer,43.0,37.0,Fresh
Stroberi,Berry,Chiller,3.0,2.0,Soon
Cabai Merah,Chili Pepper,Chiller,8.0,6.0,Fresh
Kol,Leafy Vegetable,Freezer,1.0,5.0,Fresh
Kunyit,Root Vegetable,Outside,5.0,9.0,Fresh
Melon,Tropical Fruit,Freezer,17.0,13.0,Fresh
Jahe,Root Vegetable,Freezer,6.0,24.0,Fresh
Jeruk,Citric Fruit,Chiller,5.0,9.0,Fresh
Lemon,Citric Fruit,Freezer,44.0,16.0,Fresh
Bawang Merah,Root Vegetable,Freezer,14.0,16.0,Fresh
Nanas,Tropical Fruit,Freezer,11.0,19.0,Fresh
Pisang,Tropical Fruit,Freezer,39.0,-9.0,Expired
Bayam,Leafy Vegetable,Chiller,6.0,-1.0,Expired
Cabai Rawit,Chili Pepper,Chiller,10.0,0.0,Expired
Brokoli,Leafy Vegetable,Chiller,12.0,-2.0,Expired
Kiwi,Temperate Fruit,Freezer,60.0,-12.0,Expired
Kunyit,Root Vegetable,Freezer,60.0,17.0,Fresh
Semangka,Tropical Fruit,Outside,9.0,-2.0,Expired
Tomat,Root Vegetable,Chiller,10.0,4.0,Fresh
Semangka,Tropical Fruit,Chiller,2.0,8.0,Fresh
Jahe,Root Vegetable,Chiller,0.0,30.0,Fresh
Paprika,Chili Pepper,Freezer,49.0,11.0,Fresh
Pear,Temperate Fruit,Chiller,1.0,13.0,Fresh
Kentang,Root Vegetable,Freezer,40.0,37.0,Fresh
Nanas,Root Vegetable,Outside,2.0,3.0,Soon
Mangga,Tropical Fruit,Freezer,23.0,7.0,Fresh
Stroberi,Root Vegetable,Outside,0.0,2.0,Soon
Anggur,Temperate Fruit,Freezer,16.0,14.0,Fresh
Kunyit,Root Vegetable,Chiller,18.0,12.0,Fresh
Stroberi,Berry,Chiller,1.0,4.0,Fresh
Pakcoy,Leafy Vegetable,Freezer,21.0,0.0,Expired
Selada,Root Vegetable,Chiller,2.0,5.0,Fresh
Jeruk Bali,Citric Fruit,Freezer,32.0,28.0,Fresh
Wortel,Root Vegetable,Chiller,12.0,9.0,Fresh
Cabai Merah,Chili Pepper,Chiller,0.0,14.0,Fresh
Sawi,Leafy Vegetable,Freezer,18.0,12.0,Fresh
Tomat,Tropical Fruit,Outside,2.0,3.0,Soon
Jahe,Root Vegetable,Outside,4.0,10.0,Fresh
Alpukat,Tropical Fruit,Outside,0.0,3.0,Soon
Mangga,Tropical Fruit,Freezer,16.0,14.0,Fresh
Kunyit,Root Vegetable,Chiller,8.0,22.0,Fresh
Jeruk Nipis,Citric Fruit,Chiller,2.0,12.0,Fresh
Nanas,Tropical Fruit,Chiller,1.0,6.0,Fresh
Cabai Rawit,Chili Pepper,Freezer,34.0,26.0,Fresh
Semangka,Tropical Fruit,Freezer,2.0,28.0,Fresh
Kiwi,Temperate Fruit,Freezer,0.0,37.0,Fresh
Sawi,Root Vegetable,Outside,1.0,0.0,Expired
Lemon,Citric Fruit,Freezer,60.0,-5.0,Expired
Bayam,Leafy Vegetable,Freezer,3.0,27.0,Fresh
Melon,Tropical Fruit,Outside,2.0,3.0,Soon
Kiwi,Temperate Fruit,Freezer,10.0,37.0,Fresh
Paprika,Chili Pepper,Outside,3.0,2.0,Soon
Pisang,Tropical Fruit,Freezer,0.0,5.0,Fresh
Semangka,Tropical Fruit,Outside,2.0,5.0,Fresh
Cabai Rawit,Chili Pepper,Outside,4.0,0.0,Expired
Mangga,Tropical Fruit,Freezer,38.0,-8.0,Expired
Pepaya,Tropical Fruit,Outside,1.0,3.0,Soon
Kol,Leafy Vegetable,Freezer,,-7.0,Expired
Pisang,Tropical Fruit,Chiller,4.0,1.0,Soon
Jeruk Nipis,Citric Fruit,Freezer,,0.0,Expired
Raspberry,Berry,Freezer,27.0,-6.0,Expired
Mangga,Tropical Fruit,Chiller,3.0,4.0,Fresh
Kol,Leafy Vegetable,Freezer,6.0,24.0,Fresh
Jeruk Bali,Citric Fruit,Outside,9.0,5.0,Fresh
Cabai Rawit,Chili Pepper,Outside,2.0,2.0,Soon
Alpukat,Tropical Fruit,Outside,3.0,-20.0,Expired
Jeruk Nipis,Citric Fruit,Freezer,29.0,31.0,Fresh
Kol,Leafy Vegetable,Outside,1.0,2.0,Soon
Brokoli,Leafy Vegetable,Outside,5.0,2.0,Soon
Kangkung,Leafy Vegetable,Chiller,5.0,-1.0,Expired
Singkong,Root Vegetable,Freezer,2.0,28.0,Fresh
Singkong,Root Vegetable,Outside,60.0,2.0,Soon
Anggur,Temperate Fruit,Freezer,27.0,3.0,Soon
Jeruk Nipis,Citric Fruit,Freezer,60.0,-2.0,Expired
Kunyit,Root Vegetable,Chiller,3.0,27.0,Fresh
Lemon,Citric Fruit,Outside,9.0,-2.0,Expired
Jeruk Nipis,Root Vegetable,Chiller,5.0,9.0,Fresh
Bawang Putih,Root Vegetable,Outside,34.0,11.0,Fresh
Sawi,Leafy Vegetable,Chiller,5.0,0.0,Expired
Paprika,Root Vegetable,Outside,4.0,37.0,Soon
Cabai Merah,Chili Pepper,Freezer,0.0,5.0,Fresh
Bayam,Leafy Vegetable,Outside,1.0,0.0,Expired
Jeruk Bali,Citric Fruit,Outside,18.0,-4.0,Expired
Melon,Tropical Fruit,Chiller,9.0,-2.0,Expired
Nanas,Tropical Fruit,Freezer,35.0,-5.0,Expired
Bawang Merah,Root Vegetable,Outside,39.0,-9.0,Expired
Stroberi,Root Vegetable,Freezer,32.0,-2.0,Expired
Pakcoy,Root Vegetable,Freezer,19.0,2.0,Soon
Alpukat,Tropical Fruit,Chiller,3.0,4.0,Fresh
Kunyit,Root Vegetable,Chiller,32.0,-2.0,Expired
Wortel,Root Vegetable,Freezer,16.0,5.0,Fresh
